B.N.A. Act Amendment

pursue the course we have pursued in years gone by. It seems to me that then would develop an anomalous situation and it is merely fanciful and illusory for us to dream that, after we have such result, our status would be in the least elevated or that we would be more of a nation than we aTe today.
The third amendment moved by the hon. member for East Calgary (Mr. Irvine) has, I think, in effect, the interpretation given to it by the Prime Minister. If the hon. member for East Calgary agrees, I am satisfied that he will not himself ask that we shall vote upon this amendment. I know he did not intend such effect. If I have his puipose aright, he intended that we should express ourselves the opinion that this parliament should have the right to amend the British North America Act, but that we should not convey that opinion to the British House until the provinces of Canada agree. To that also I am emphatically opposed. I do not think this parliament should have the right of its own will and motion, under any conditions, without reference to the provinces, even though they might presently grant us that right, to amend in any way we choose the British North America Act. Though the provinces might agree that we should go to the British House and ask for the right to be vested in this parliament alone, I would not be a party to the assertion of such a right. There are, in this Dominion, minorities whom no provincial legislature distinctly represents. The voice of those minorities is heard even in the midst of this debate. Are we to assume that because certain legislatures, which do not speak for those minorities, tell us to take to ourselves the right to amend the British North America Act at will we ought, therefore, to do so? I do not think so at all. So that, in the form which the three propositions now before the House take, I could not vote for any of them.
There still remains, however, the question at large, should we seek by some channel or other to obtain these powers? It perhaps is not worth discussing in so far as deciding the vote of any one on what is before us is concerned, but it has been discussed and I do not want to evade it in any degree whatever.
I am afraid myself that if we launch very far into this question and seek to set up some other method than that already pursued we are only going to get further and further into the morass; and any substitute which we are able to invent will be far more cumbersome and even less dignified than that to which we have subscribed through all these

years. We differ from Australia and South Africa. We are a federation of a variety of minorities and majorities. A suggestion has been made, I believe, by Sir Clifford Sifton,- and I cannot help but note the more brotherly language and Christian spirit in which his name is spoken of by hon. gentlemen opposite now than characterized similar references just a few years ago,-that there should be some divisions created throughout the Dominion and some proportional representation election; and that the delegates so elected should re-draft our constitution. Well, it seems to me that if such were done the very securities that now prevail would be insisted on again. There is no reason in the world to assume that any different securities could be substituted. And why is this the case? Simply because you cannot erect any structure of balances and referendums as simple and effective as the method which obtains to-day. Imagine an agreement to which any minority in this country could logically be asked to subscribe, an agreement under which there would be a reference to the provinces and then a reference to minorities, all entailing weeks and months, perhaps years of labour, all giving rise to disputations and controversies, section against section-that is to say, if the change proposed amounted to anything at all. Imagine a system such as that to which any of the various minorities of Canada would likely subscribe at any conference! No matter how you go about it, whether by a new system of divisions or by the legislatures as they exist in conjunction with this parliament, you will arrive ultimately at just the same difficulty which confronted the Fathers of Confederation and which they surmounted by the instrumentality of the British North America Act.
Is it all worth while? Are we going to be any better off after this is all done than we are now? The answer comes in the speeches we have heard this very day. One hon. gentleman, even the mover himself, rises and says: ""All I ask for, and I ask it in the name of the dignity and nationhood of Canada, is that in matters which do not affect minorities we shall have the right to amend our constitution"". And he declares that to the outside world our status will be enhanced; it will all appear a whole lot better to 9 p.m. the world at large, who will look on us as higher in rank among the nations, more independent, more autonomous, less subordinate to the Motherland. I do not follow this reasoning at all. If we would still have in all important cases to go through the circuitous journey which we take now,

B.N.A. Act Amendment
why should we not do the same in every instance? If the outside world sees us take this course in all matters of consequence, I do not think that we are likely to be elevated to any position of superior dignity because we do not have to submit to the same necessity in matters which are merely minor. The hon. member for Lotbiniere (Mr. Vien) says that there are certain subjects which he never would commit for decision to the Parliament of Canada, no matter who else might consent to this being done. We rest, says he, on the security which is found in the British parliament so far as these particular matters are concerned. But, says the hon. member, as to other subjects, ""for the sake of our position before the world, I beg of you to adopt some new means whereby we can change the act at will"". For the life of me I do not see anything to be gained at all so long as there is something reserved.
But if there were nothing reserved, if all minorities would agree to something definite -and this to my mind is purely visionary- if all were unanimous that we abandon recourse to the British parliament altogether, and, through some system at home, vest in the various legislatures and the Parliament of Canada the right to amend the constitution, would we really be further ahead than we are now? The Prime Minister says, and I support him to the full, that we have today an absolute constitutional right to fix the terms of our constitution. Speaking for the people of Canada, satisfying the British parliament that we so speak-and there is no difficulty in doing this if the voice of objection is not heard-we have the right as a parliament to decide what goes into that act and what stays out. Such is our position to-day. Hon. gentlemen say: ""Yes, but that only rests on the foundation of constitutional right; by law we still have to go around the route to the British parliament, and we do not want to rest on the insecure basis of mere constitutional right. We want our legal rights plainly defined' before the world."" Let us inquire into that contention. In my judgment our legal position would not be one whit the stronger in that case than it is now. True, it is by virtue of constitutional right that we can now dictate virtually any amendments to the act, provided we speak for all Canada and the voice of minorities raises no objection. But the sanction of constitutional right within this British Empire is just as firm, just as lasting and just as dependable as the voice of law itself. But I go farther. When we have gone through all this and got our substituted system, when we have obtained the 22
legal right to amend in our several parliaments this British North America Act, the legal foundation is not one iota better than it was before. Why do I say that? Though the British North America Act may be amended, in such a way as to give the Parliament of Canada, after a long series of provincial approvals, the right to amend the act, after that is all done the legal power would still remain in the British parliament to change the act at will. And nothing could restrain them save a regard for constitutional authority. In other words, we would still be protected by constitutional right and constitutional right alone; the legal power in the British parliament would remain to amend the act or to repeal it. So that after all the sanction we would have would be the very sanction we now enjoy. The legal right exists to-day, for example, on the part of His Majesty to veto any act of the Parliament of Great Britain. Though the legal right exists, however, the constitutional right has died; it is antiquated and obsolete and virtually does not exist at all. And it would be just as true to say that the Parliament of Great Britain to-day is a mere instrument and tool of monarchy as it is to say that this parliament, speaking for the people of Canada, has not the right to amend our constitution. We have the right, and before the world we could be no better off or better protected if any scheme whatever of the nature now proposed were adopted.
I may be old fashioned in this matter and if I am I will take the consequences. But I am not very anxious to strip the British Empire of those emblems of unity which today dignify it before the face of the world. I do not want to do anything of the kind unless there is something to be gained, something material and practical beyond all that is lost. For my own part I think we have travelled far enough along this road. Rather, I believe that it has-on ourselves and on the world without-a wholesome effect to see these visible signs of our unity remain, to see our appeal to the Privy Council preserved, to see our power of amendment exercised through the old British parliament; to see in a word that the British Empire is the British Empire still.

",Conservative (1867-1942),,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
726433,ca.proc.d.1925-02-19.17.1.181,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. W. F. MACLEAN (South York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Mr. Speaker, I do not want to get the House into a muddle over this question; I want to see that due respect is paid both to the House and to the question itself.
From what the Prime Minister (Mr. Mackenzie King) has said and from what the

B.N.A. Act Amendment

right hon. leader of the opposition (Mr. Meighen) and the Minister of Justice (Mr. Lapointe) have said, it would appear that this country, this parliament, are in a helpless condition, are impotent and cannot deal with the very fair question that I have brought to the attention of the House and the country. If the British parliament has granted this power to the dominions that have been created since Canada was made a confederation by the British North America Act; if Australia, South Africa and the Irish Free State are able to amend their respective constitutions, within certain limitations and protections that have been provided, why should not the first of the dominions, this Canada of ours, have the privilege not only of amending her own constitution but also of interpreting it in her own courts rather than being obliged to have it interpreted by a court in the formation of which she did not have a single voice?
Lawyers can put up arguments on all kinds of cases, and we have a good many lawyers in this House. The Minister of Justice led the lawyers who spoke on this question, and the leader of the opposition followed the same line as the Prime Minister-they are all trying to get past the issue. They forget that we are living alongside the United States, a great country which has achieved something in the way of better conditions for the world. Some people may say they have not entirely succeeded; perhaps not. But they have done something. Out of a condition similar to ours they evolved a constitution which they themselves have power to amend. They have amended it, and have continued to amend it. Instead of being governed as they were in the first place by the thirteen original states, they are now governed by the senate and congress of the United States. In other words, the people of the United States can make, amend and interpret their own constitution. But leading members of this House, especially its legal lights, say that in that respect Canada is helpless; we cannot do it. As a Canadian I resent that doctrine, and I hope I shall live long enough to see a change made.
I did hope to hear something from my friends down to the left, the Progressives. They know they have grievances; I have heard them mention them within the last two or three days. For instance, they disagree with a decision given by the Privy Council in regard to certain matters affecting their interests. They know about the case where the Canadian Pacific Railway Company refuses to pay the taxes on or take the deeds of their land, a great deal of their

property escaping taxation in that way. I would ask the leader of the Progressives if that is not so.

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726434,ca.proc.d.1925-02-19.17.1.182,1925-02-19,6df59897-c34b-4c7b-ae9c-3918921f376b,ca.m.3043,Mr. FORKE:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"That is so.

",Progressive,,Robert Forke,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6df59897-c34b-4c7b-ae9c-3918921f376b&Language=E&Section=ALL
726435,ca.proc.d.1925-02-19.17.1.183,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. MACLEAN (York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"He knows the
case. There is an occasion for a real grievance in respect to a decision of the Judicial Committee of the Privy Council. There are many oases of that kind and, the more this country grows the more will it be dissatisfied with the decisions made across the ocean when we have in our own country a Supreme court which is competent to deal with these matters and can better interpret our constitution than can the Judicial Committee of the Privy Council. What is good enough for Australia and South Africa is surely good enough for Canada, which preceded them in establishment as a dominion and has grown up the greatest daughter of the British Empire.
Lawyers and newspaper men may argue: ""Oh, the member for South York is trying to smash the British connection "" I not only heard hints of that, but the hon. member for West York (Sir Henry Drayton), in the most pedantic way, undertook to lecture me last night for indulging in intellectual gymnastics in this House. Well, now that we are talking about gymnastics I must come back at him. He himself has indulged in a species of gymnastics. I get that information from a document that came into my hands a few days ago, entitled Report re North Atlantic Steamship Combine, by W. T. R. Preston. I was reading that report, and at page 7 I found the following:
In consequence of the continued discrimination against the products of Canadian flour mills by the North Atlantic steamship combine, the Canadian government was pressed, in 1913, by the milling interests to immediately investigate the operations of the North Atlantic steamship combine. The chairman of the railway board (now Sir Henry Drayton), was selected to undertake the inquiry, particularly with respect to Canadian overseas trade. Sir Henry proceeded to London with the object of securing such information as might be available in British government departmental records, and also in the hope of securing the assistance of the Imperial government in bringing about a more satisfactory condition in ocean transport.
And then the report goes on to say something of the-not intellectual gymnastics but physical gymnastics of the member for West York, who, under the guidance of W. T. R. Preston, went around London to smash the combine that existed in the north Atlantic steamship trade. I have heard a great many people talk about, ""The flag that braved a thousand years, the battle and the breeze"" meaning, mainly, the navy of Great Britain. But there is also a flag, the mercantile flag of Britain, which is older even than the

B.N.A. Act Amendment
navy, and which has braved the breezes of more than a thousand years. The statements that Mr. Preston puts in this document are the result of the visit and gymnastics of the member for West York at that time, and these gymnastics are still going on. That is the greatest attack that has been made on the British flag that I know of, and apparently it was made by the hon. member for West Y'ork (Sir Henry Drayton), who undertook to tell me what I ought to do in the matter. I refuse to be told by him or by the ex-mayor of Toronto, now the member for North Toronto (Mr. Church), whether I am loyal or not. I do not have to go to these gentlemen for certificates of loyalty. I still represent in this House 120,000 people, who constitute the largest eonstituteney in Canada, and most of them are British bom. The riding of South York is made up almost altogether of the township of York, which includes the main suburbs of Toronto, and I know these British-born men; I know what their views are. They are very British, and I had the fairness to tell some of them the other day that when they [DOT]were fighting for their personal liberties in regard to certain legislation of the province of Ontario I had a great deal of sympathy with them.
My hon. friend the member for West Toronto (Mr. Hocken) who also read me a lecture, has also told these people in the last day or two in his paper, and it is a good paper, that he has a lot of sympathy with them in their fight for their liberties in Toronto. These British-born people in the township of York, and the majority of the electors there are British-born, have not a word to say against me when I have the courage to say we ought to have what the English people have, the right to make our own constitution. I am as British as they are; I am as British as the leader of the opposition (Mr. Meighen) on this subject; but I am enough of a Canadian-a one hundred per cent Canadian- to say that the constitution of Canada must be made in this country, and must be interpreted in this country by a Canadian court. We have a right to make our own court and to express our confidence in it. Now am I a disloyal Canadian in saying that? Yet that is the impression some of my friends on this side of the House have sought to give of myself. Well, let them say so; they have a perfect right to say so, but as long as I am the member from my riding I have the right to say what I think on this question.
A lot of these electors in York township that I spoke of are market gardeners and fruit growers, and these market gardeners and fruit growers in the township of York believe in 22i
a national policy; they believe in a tariff to protect the home producers of this country, and they are not going to condemn me, because I am just as British as they are. I am British enough to think that what is good enough for the great Mother Country is good enough for Canada, especially when it is good enough for Australia and even for the new state of South Ireland. The State of South Ireland is not limited in a single direction in the amending of its constitution, except in one respect; it cannot wipe out the king's prerogative; the king is the head of the state. This new state has absolute autonomy in every direction excepting that one thing. Australia also has the same right, and they are vindicating it. Are they disloyal for that? Will the hon. member for North Toronto say that the people of Australia are disloyal. Will the hon. member for West York say the same thing? Yet he has been trying to say that in the most pedantic way; I never heard such a pedantic speech as he made this afternoon. He endeavoured to say I was disloyal in such an insinuating way. He is a clever lawyer; I give him credit for that. But it is absurd to say that we in this country of ours, and that your sons and my sons after we are gone, are not to have a say as Canadians in the framing of the constitution of Canada, and I say that with all respect to my fellow countrymen of Quebec and other portions of Canada which have guaranteed rights in our constitution.
I presented only a skeleton proposition to the House. I have had a good deal of experience in this House, and time after time I have seen a man who had some proposition to put before the House sidetracked by thirty lawyers, and thirty more echoes of them. Why every silly Tommy can get up here and say the same thing. We have heard these silly Tommies charge people with being disloyal. When a proposition of this kind comes up we have to sit in this House and listen to the best lawyers we have, in the person of the Minister of Justice (Mr. Lapointe) and in the leader of the opposition, a gentleman for whom I have the greatest respect-I think he is the ablest parliamentarian in this country-but he is not in accord, he does not mesh to-day with the hon. member for South York on this question. Again I say, this is only a skeleton proposition that I have put before the House, and I would like to know how you can get a hearing in this House unless you have a skeleton proposition, and have the courage to put something in writing which you believe in. Having this proposition before us, I have no doubt that the Parliament of Canada, made up
BN.A. Act Amendment

of this House and the other House, and guided by the electors of Canada, and by the discussion that goes on in the country, and by the fairness of the Canadian people and the respect they have for minorities and for the pledges they have given in the past-I have no doubt that this parliament and the citizenry of Canada will be able to deal fairly and justly with a question of this kind. But we have had to sit here and listen to these lawyer statements-and you can get a lawyer to make any kind of a statement, and he will give you the very opposite opinion the next day, for a retainer. It may be a laughing matter:	It
it is to me a laughing matter to see such a collection of arguments coming up on a serious question like this. I have presented this question in the most serious way. I did not raise it because of any recent decision in England. I have taken pains to study the question; I have worked on it and I got advice on it a year ago, and then I framed up a skeleton proposition which I thought was a good proposition on which to get a discussion of this question, and that it is a live question is shown by this full House here to-night. If I were talking rot would there be any person in the House?

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726436,ca.proc.d.1925-02-19.17.1.184,1925-02-19,be525b3e-1ce0-476f-83c1-f1ce7813923b,ca.m.2950,Mr. SHEARD:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Yes.

",Conservative (1867-1942),,Charles Sheard,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=be525b3e-1ce0-476f-83c1-f1ce7813923b&Language=E&Section=ALL
726437,ca.proc.d.1925-02-19.17.1.185,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. MACLEAN (York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"My hon. friend would' be here. I never saw such a good judge of rot as he is. But in all seriousness I beg to say to my fellow members that this debate does not end this question. I am going to say the same thing to my constituents, to the electors of South York, when I go back into that part of South York which I have represented for thirty-three years and which may go into West York and I will be very glad to have my pedantic friend express his view. I d'o not know what the dictionary derivation of "" pedantic "" is, it probably comes from one of the old Greek roots; but the dictionary tells us that a "" pedant "" is one who assumes an air of superiority over others with whom he is associated. I hope that I have never been guilty of assuming an air of superiority over my fellow members; I have been a pretty fair friend even to some hon. members who have undertaken to flagellate me for what I have said here.

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726438,ca.proc.d.1925-02-19.17.1.186,1925-02-19,intervention,,,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Shame.

",,,Some hon. MEMBERS:,
726439,ca.proc.d.1925-02-19.17.1.187,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. MACLEAN (York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Will these hon. members undertake to stand' up and say that I am disloyal? Will the hon. member for North Toronto arraign me before the electors of the old town of North Toronto, still in my constituency, on the charge of being disloyal? Will the hon. member for West

York also do that? And yet that is practically the argument of my hon. friends- that I was disloyal, that I was preaching disloyalty, because I thought that my country, that your country and the country of your sons and daughters, ought to have the same status in regard to her constitution and the interpretation of it as the Mother Country, as Australia, as South Africa, and even the Free State of Ireland have.
Now that is the issue. You can do what you like with it. You can vote it down. The feeling of the House may be that this question should be allowed to drop to-night. I would' not object to that, but if it is done the verdict of the people' will be that this House had not the courage to deal with the issue that the member for South York presented on this occasion. I want to know whether the Progressives are prepared to deal with this question? Do they know anything about any injustice that was done to them by the Privy Council that I hinted at a little while ago? I think they know, and this House knows, and the Prime Minister and his party know that there is something wrong when they have intimated in the press that they are going to summon some kind of a conference of the provinces to consider this question. That is my justification to-night, the Prime Minister and his party say they are going to do something in the way of reform. They are going to do something in the way of reform to the upper house, and I agree with one of the hon. members from Quebec in what he said this afternoon. There is something wrong with the upper chamber. I am quite frank in speaking about these things, and I do not think I am guilty of any breach of privilege in alluding to the question. The people of Canada believe not only in the right to make their own constitution but in a .senate elected or selected by the several provinces. The Senate has just as much need to be elected as the House of Commons has. It should not be appointed as it has been. It was all right to start with, but now the system is a wrong one and the wrong must be righted. The several provinces of Canada are entitled to elect their own senators just as they do in the United States. And we are located alongside that country and this parliament is confessing that we should not amend our own constitution and should not choose our own senators in the way they do. And speaking of the House of Lords in the Old Country the growing feeling in England is that the House of Lords as at present constituted must be changed. The principle of election, even of an upper cham-

B.N.A. Act Amendment
ber is growing in England itself, and it is growing all over this world. There is a time when a man's usefulness may be near its end, but it never ends so long as he holds an appointed seat in the Senate of this country. That is not a very pleasant thing to have to say, but I have enough courage to say it; and if the Prime Minister states ""I am going to call a conference of the various provinces to deal with one question and that is the selection of the Senate in this country"" I believe he makes the first step in the desired direction. The Prime Minister says he is going to make it. On the other hand the right hon. leader of the opposition declares that he has simply made the promise and that will be the end of it. Well, I am going to ""wait and see."" That is what the Prime Minister has laid down to-night. But how long have we got to wait and when shall we see? Talking about ""seeing"" I do not see the Minister of Justice here to-night. He gave a fine legal opinion last night, but he is not here to-night to uphold it. Where is he?
Mr. MACKENZIE KIN1G:	He is at the
West Hastings banquet.

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726440,ca.proc.d.1925-02-19.17.1.188,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. MACLEAN (York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"I hope he will
have a good time, but that is not discharging the duties of Minister of Justice for Canada when an important question like this comes up; and if he goes to many banquets we shall have to wait a long while to see. I could talk on this line a great deal longer.

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726441,ca.proc.d.1925-02-19.17.1.189,1925-02-19,intervention,,,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Go on.

",,,Some hon. MEMBERS:,
726442,ca.proc.d.1925-02-19.17.1.190,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. MACLEAN (York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,".No, I am not
going on, but I am going to say what I have said here in my own constituency, I am going to say the same thing elsewhere in the country. My good friend from West Toronto made reference to a newspaper with which I was once connected and to the views which it advocated. I have a faint suspicion that some day the Toronto World may revive and take the lead in the campaign which I have started in this House.

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726443,ca.proc.d.1925-02-19.17.1.191,1925-02-19,ee55f509-b280-46d5-addb-20aa2913fe21,ca.m.5278,Mr. HOCKEN:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"When will it start?
M,r. MACLEAN (York) : ""Wait and see."" I could say something more about newspapers if I cared to but I do not want to talk about that subject; the people are getting wise to it now. I am going to leave this question now with the consent of the mover of the resolution. I want to . thank the hon. member for 'Southeast Grey (Miss Macphail), the only lady member of this House, for seconding my motion. I have got more support from the women in this matter than I have from the
men. We are going into an election here and in England, and there is this surprising feature about it: In the next election in Canada there will be more names of women on the voters list than there will be of men. In my own constituency right now there are lots of women voters and I go out and talk to them. And they talk too, they talk about the tariff and the constitution of this country, and they listen. A lot of women are going into the next election and much will depend on the question that I have raised here, whether Canada is a nation or not, whether this parliament is competent or incompetent, and on questions of that kind. This subject may be dropped to-night, but great headway has been made by Canada to-day toward the achievement of independence in her own sphere, while still remaining the strongest support of the Mother Country. We are able to administer our own constitution, able to make it, able to interpret it and able to live up to it and to make Canada the greatest country on the face of the globe to-day. I will withdraw the motion and leave the responsibility on parliament for its treatment of it.

",Conservative (1867-1942),,Horatio Clarence Hocken,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=ee55f509-b280-46d5-addb-20aa2913fe21&Language=E&Section=ALL
726444,ca.proc.d.1925-02-19.17.1.192,1925-02-19,ee1cc492-9867-48d3-a612-c1fb491d2916,ca.m.1883,Mr. WOODSWORTH:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Since the main
motion has been withdrawn I feel that no good purpose will be served by retaining the amendment. The Conservative party seem to be so hopelessly shattered, and the Prime Minister and the leader of the opposition so hopelessly united, that I think we cannot proceed any further in the matter.
Amendment withdrawn.

",Labour,,James Shaver Woodsworth,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=ee1cc492-9867-48d3-a612-c1fb491d2916&Language=E&Section=ALL
726445,ca.proc.d.1925-02-19.17.1.193,1925-02-19,f0d1049a-4acc-4789-a93f-b3bceae69e3f,ca.m.8624,Mr. IRVINE:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"In view of the fact that
the promise given to the House by the Prime Minister was virtually what I included in my amendment, -with the consent of the House I ask leave to withdraw.
Amendment to the amendment withdrawn.

",Labour,,William Irvine,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=f0d1049a-4acc-4789-a93f-b3bceae69e3f&Language=E&Section=ALL
726446,ca.proc.d.1925-02-19.17.1.194,1925-02-19,unmatched,,,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"May I say a word now?

",,,Mr.   PQRKE@,
726447,ca.proc.d.1925-02-19.17.1.195,1925-02-19,6d2239f0-68df-4f36-b0c9-3be648d7d592,ca.m.8455,Mr. SPEAKER:,Speaker of the Senate,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"The resolution is in possession of the House and can only be withdrawn by leave of the House.

",Liberal,,Hewitt Bostock,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6d2239f0-68df-4f36-b0c9-3be648d7d592&Language=E&Section=ALL
726448,ca.proc.d.1925-02-19.17.1.196,1925-02-19,intervention,,,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Withdraw.
Motion withdrawn.

",,,Some hon. MEMBERS:,
726449,ca.proc.d.1925-02-19.18,1925-02-19,,,,topic,COPYRIGHT ACT AMENDMENT,,,,,,,
726450,ca.proc.d.1925-02-19.18.1.1,1925-02-19,,,,stagedirection,,,,"Mr. E. R. E. CHEVRIER moved the second reading of Bill No. 2, to amend and 'make operative certain provisions of the 'Copyright Act, 1921.",,,,
726451,ca.proc.d.1925-02-19.18.2,1925-02-19,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Mr. MEIGHEN:,Leader of the Official Opposition,COPYRIGHT ACT AMENDMENT,,,"I do not pretend to
know very much about the law nor about the Copyright Act as it stands, but I do know
Copyright Act Amendment

this, that very strong representation has been made against this measure, and it seems to me that before the second reading is passed, which virtually confirms the principle of the bill, the state of the law should be briefly expounded, the effect of the amendment briefly explained and the judgment of hon. members who have followed this law given for the benefit of us all.

",Conservative (1867-1942),,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
726452,ca.proc.d.1925-02-19.18.3,1925-02-19,ed2c1fcc-9b3d-43e7-8145-ba55cb2d1ab1,ca.m.6348,Mr. CHEVRIER:,,COPYRIGHT ACT AMENDMENT,,,"In view of the statement that has just been made as to the opinions of lawyers, I feel rather diffident about expressing an opinion now, but I quite agree with the words of the right hon. the leader of the opposition (Mr. Meighen) that the copyright law is at present a very complicated matter. If I had to quote authority for that I would refer to the debates that took place in this House and in the Senate in 1921 and 1923 when a number of distinguished members took part in the discussion including some ministers and ex-ministers, and the statement was made that nobody in this House apparently understood this law. It is rather a difficult situation to be placed in to be asked now to explain this law, but I think a synopsis can be given in a very few words. In 1886, at Berne, a convention was arrived at relating to international copyrights in which the leading nations of the world took part and became adherents to that convention. Britain was one of the parties to the Berne convention and extended to Canada the operation of this international copyright law. Canada nevertheless had its own domestic copyright law, chapter 88 of 30 Victoria, 1875. In 1908 the Convention of Berne was revised. Britain continued to adhere thereto, but did not extend the dispositions thereof to Canada. It was not until 1921 that the present Copyright Act was passed, containing most of the dispositions of the Berne convention but containing contrary to the convention the licensing clauses. The object of this bill is to correct these objectionable features, which are objectionable to those for whose benefit the copyright law was first instituted. I refer to sections 12, 13 and 15. Moreover, all through the act definitions have been left out as well as means of remedy. There have been omitted also certain rights of authors, of printers and of people who may enjoy the benefit of the reproduction of works. After all the main point at issue is really the repeal of the licensing clauses. It would be presumption on my part to endeavour to explain the intricacies of this legislation at this time, although if the House will bear with me I will endeavour to do so.

If the House will permit, I think the best way of dealing with this legislation will be to submit it to a special committee. When this law came up in 1923 it was discussed fully, and I find the hon. member for South Wellington (Mr. Guthrie) stated at that time:
In the meantime my suggestion to the minister in this matter would be, seeing the bill is going to raise a good deal of controversy upon very difficult points, to refer the measure to a small select committee, (representative of the different parties in the House, and ask the authors, the publishers and the printers to state their case.
Then the hon. member for South Simcoe (Mr. Boys) said:
I would like to support the suggestion of the hon. *member for South Wellington (Mr. Guthrie) that a small select committee be at once appointed.
And then later on in the debate the suggestion was repeated.	This time the hon.
member for South Wellington (Mr. Guthrie) said:
I was satisfied when the bill was up before, and I am just as firmly satisfied now that apart from the minister himself there is not a man in the committee at this present moment who understands this legislation.
Further on, he said:
I have tried to g6t to ' the bottom of this matter;
I have spent a lot of time on it and I confess I do not fully understand it now. My suggestion to the minister, when the bill was last up, was that he appoint a small committee, as was done in 1921, before whom the authors, publishers and printers can appear and state their claims. The committee will have to go to the bottom of the matter and report on this bill. I understood that my suggestion on that occasion agreed with the view of the minister. The hon. member for Brandon (Mr. Forke) backed up the proposal very emphatically. He said that he did not understand it, that the committee did not either, and he refused to commit himself to legislation which he did not understand. I do not know anything quite as complicated or quite as involved as the copyright question.
