basepk,topic,category
1039382,Dominion Franchise Act and electoral voters' lists,Government and Parliamentary Affairs
1039195,Canada Shipping Act definitions,Transportation and Communications
1039289,certification requirements for coastal fishing vessels,Transportation and Communications
1039267,amendments to the Canada Shipping Act,Transportation and Communications
1039247,merchant shipping legislation uniformity,Transportation and Communications
1039385,electoral franchise and closed voters' lists,Government and Parliamentary Affairs
1039365,provisions for disfranchisement in the Dominion Franchise Act,Government and Parliamentary Affairs
1039230,uniformity of imperial merchant shipping legislation,Transportation and Communications
1039383,Dominion Franchise Act reforms,Government and Parliamentary Affairs
1039462,revision of the Canada Shipping Act,Transportation and Communications
1039227,Canada Shipping Act definitions,Transportation and Communications
1039466,amendments to the Canada Shipping Act,Transportation and Communications
1039419,Dominion Franchise Act and electoral reform,Government and Parliamentary Affairs
1039393,voter registration procedures,Government and Parliamentary Affairs
1039399,voters' lists registration and population mobility,Government and Parliamentary Affairs
1039460,amendments to the Canada Shipping Act,Transportation and Communications
1039454,amendments to the Canada Shipping Act,Transportation and Communications
1039727,Canada Shipping Act committee proceedings,Transportation and Communications
1039527,load line convention implementation,Transportation and Communications
1039525,international load line convention implementation,Transportation and Communications
1039468,consolidation of the Canada Shipping Act,Transportation and Communications
1039523,load line convention regulations,Transportation and Communications
1039456,definition of home-trade voyage limits,Transportation and Communications
1039464,revision of the Canada Shipping Act,Transportation and Communications
1039411,amendments to the Dominion Elections Act,Government and Parliamentary Affairs
1039684,definition of ship in Canada Shipping Act,Transportation and Communications
1039440,Canada Shipping Act legislation,Transportation and Communications
1039618,definitions of ship and vessel in Canada Shipping Act,Transportation and Communications
1039414,proposed language qualifications for voting rights,Government and Parliamentary Affairs
1039524,incorporation of the 1930 international shipping convention,Transportation and Communications
1039476,measurement of ships and voyage definitions,Transportation and Communications
1039598,definition of hull in the Canada Shipping Act,Transportation and Communications
1039446,Canada Shipping Act amendments,Transportation and Communications
1039556,merchant shipping safety and load line conventions,Transportation and Communications
1039594,definition of home trade in Canada Shipping Act,Transportation and Communications
1039407,Dominion Franchise Act and electoral list revision,Government and Parliamentary Affairs
1039522,international load line convention ratification,Transportation and Communications
1039801,seaman discharge certificate grading requirements,Transportation and Communications
1039794,qualifications for able seaman rating,Transportation and Communications
1039768,recognition of Canadian certificates of competency,Transportation and Communications
1039536,Dominion Franchise Act amendments,Government and Parliamentary Affairs
1039740,Canada Shipping Act tonnage measurement exemptions,Transportation and Communications
1039685,legal definition of ship in the Canada Shipping Act,Transportation and Communications
1039677,registration of small vessels under Canada Shipping Act,Transportation and Communications
1039819,return ports for Canadian seamen,Transportation and Communications
1039540,state funding of election expenses,Government and Parliamentary Affairs
1039798,repatriation of stranded Canadian seamen,Transportation and Communications
1039884,definition of shipping casualty under the Canada Shipping Act,Transportation and Communications
1039692,registration procedures for change of ship ownership,Transportation and Communications
1039814,compensation for injured seamen,Social Welfare and Labour
1040089,mandatory use of Canadian shipping routes,Transportation and Communications
1039844,mandatory radiotelegraph installation on passenger ships,Transportation and Communications
1040142,customs duty exemptions for grain shipments,International Trade and Tariffs
1039947,Canada Shipping Act investigation rehearing provisions,Transportation and Communications
1039903,cancellation and suspension of master certificates,Transportation and Communications
1039849,safety regulations for passenger steamships,Transportation and Communications
1040066,protectionist trade policy,International Trade and Tariffs
1040084,coastal shipping of grain,Transportation and Communications
1040126,regulation of wheat transportation costs,Transportation and Communications
1040005,regulatory powers in the Canada Shipping Act,Transportation and Communications
1040178,proposed amendments to the Railway Act,Transportation and Communications
1039957,enactment of the Canada Shipping Act,Transportation and Communications
1040123,western grain shipping routes and rates,Transportation and Communications
1040091,western Canadian economic grievances regarding tariff policy,International Trade and Tariffs
1039467,amendments to the Canada Shipping Act,Transportation and Communications
1040227,gold export assay and shipment charges,Banking and Monetary Policy
1040244,income war tax act amendments,Public Finance and Taxation
1040061,regulation of lake shipping freight rates,Transportation and Communications
1040168,federal public works funding for Montreal,Public Finance and Taxation
1040057,Canada Shipping Act regulatory provisions,Transportation and Communications
1039847,radiotelegraph installation requirements for steamships,Transportation and Communications
1040136,shipping of Canadian wheat through Buffalo,Transportation and Communications
1040186,legal jurisdiction of the Tariff Board,International Trade and Tariffs
1040125,grain transportation rate competition,Transportation and Communications
1040135,grain shipping freight rates,Transportation and Communications
1040086,shipping costs for western grain exports,Transportation and Communications
1040184,Supreme Court ruling on Tariff Board authority,International Trade and Tariffs
1040114,Great Lakes shipping freight rates,Transportation and Communications
1040218,statute of limitations for tax fraud prosecution,Public Finance and Taxation
1040204,postal revenue accounting procedures,Transportation and Communications
1040103,shipping of western grain through Canadian ports,Transportation and Communications
1040045,factors influencing Canadian wheat export prices,Agriculture and Food Policy
1040075,restrictions on Great Lakes wheat shipping,Transportation and Communications
1040087,routing and transportation of western grain,Transportation and Communications
1040183,Supreme Court ruling on Tariff Board authority,International Trade and Tariffs
1040051,coastal shipping regulations under the Canada Shipping Act,Transportation and Communications
1040235,income tax evasion loopholes,Public Finance and Taxation
1040255,retroactive income tax amendments,Public Finance and Taxation
1040254,retroactive application of Income War Tax Act,Public Finance and Taxation
1040259,Income War Tax Act amendments,Public Finance and Taxation
1039458,Canada Shipping Act amendments,Transportation and Communications
1040240,retroactivity of income tax legislation,Public Finance and Taxation
1040258,income tax exemptions for voluntary unemployment contributions,Social Welfare and Labour
1040260,taxation of bearer bonds,Public Finance and Taxation
1040210,drawback provisions under the Special War Revenue Act,Public Finance and Taxation
1040305,canned fish labelling and confiscation powers,Agriculture and Food Policy
1040257,Income War Tax Act regulations,Public Finance and Taxation
1040143,coasting trade regulations for Canadian shipping,Transportation and Communications
1040307,amendments to the Meat and Canned Foods Act,Agriculture and Food Policy
1040273,Income War Tax Act amendments,Public Finance and Taxation
1040293,amendments to the Income War Tax Act,Public Finance and Taxation
1040263,Income War Tax Act administration,Public Finance and Taxation
1040357,Food and Drugs Act amendments,Agriculture and Food Policy
1040311,labeling requirements for exported canned salmon,Agriculture and Food Policy
1040285,taxation of international business agencies,Public Finance and Taxation
1038415,eligibility criteria for the Farmers' Creditors Arrangement Act,Agriculture and Food Policy
1040402,regulation of pharmaceutical advertising and sales,Agriculture and Food Policy
1040289,amendments to the Income War Tax Act,Public Finance and Taxation
1040286,five per cent withholding tax on non-residents,Public Finance and Taxation
1040356,Food and Drugs Act amendments,Agriculture and Food Policy
1040288,reciprocal income tax provisions for foreign companies,Public Finance and Taxation
1040334,misuse of government patrol boats,Government and Parliamentary Affairs
1039946,Canada Shipping Act captain certification provisions,Transportation and Communications
1040374,Food and Drugs Act amendment,Agriculture and Food Policy
1040405,regulation of pharmaceutical drug sales,Agriculture and Food Policy
1040479,clarification of Food and Drugs Act amendments,Agriculture and Food Policy
1040488,advertisement restrictions in the Food and Drugs Act,Agriculture and Food Policy
1040353,regulation of pharmaceutical products under the Food and Drugs Act,Agriculture and Food Policy
1040392,Food and Drugs Act schedule for epilepsy,Agriculture and Food Policy
1040354,Food and Drugs Act amendment,Agriculture and Food Policy
1040261,enforcement of Income War Tax Act certificates,Public Finance and Taxation
1040359,Food and Drugs Act amendments,Agriculture and Food Policy
1040510,regulation of drug advertising and labeling,Agriculture and Food Policy
1040326,Royal Canadian Mounted Police widows' and children's pensions,Social Welfare and Labour
1040482,advertising restrictions under the Food and Drugs Act,Agriculture and Food Policy
1040329,RCMP entrapment practices in British Columbia,"Justice, Constitution, and Indigenous Affairs"
1040541,regulation of obesity treatments,Agriculture and Food Policy
1040490,regulation of proprietary medicine advertising,Agriculture and Food Policy
1040373,Food and Drugs Act amendments,Agriculture and Food Policy
1040597,Dominion Companies Act amendments,Government and Parliamentary Affairs
1040507,regulation of epilepsy medicine advertising,Agriculture and Food Policy
1040612,Farmers' Creditors Arrangement Act bankruptcy provisions,Agriculture and Food Policy
1040540,Food and Drugs Act schedule amendments,Agriculture and Food Policy
1040366,regulation of proprietary or patent medicines,"Justice, Constitution, and Indigenous Affairs"
1040532,regulation of imported epilepsy medication,International Trade and Tariffs
1040499,Food and Drugs Act amendment regarding epilepsy treatments,"Justice, Constitution, and Indigenous Affairs"
1040536,regulation of luminal for epilepsy treatment,"Justice, Constitution, and Indigenous Affairs"
1040610,Farmers' Creditors Arrangement Act provisions,Agriculture and Food Policy
1040505,regulation of epilepsy medication labeling,"Justice, Constitution, and Indigenous Affairs"
1040473,Food and Drugs Act amendment terminology,"Justice, Constitution, and Indigenous Affairs"
1040609,Farmers' Creditors Arrangement Act debt provisions,Agriculture and Food Policy
1040607,Farmers' Creditors Arrangement Act amendments,Agriculture and Food Policy
1040614,farmers' debt adjustment legislation,Agriculture and Food Policy
1040636,Farmers' Creditors Arrangement Act provisions,Agriculture and Food Policy
1040672,Farmers' Creditors Arrangement Act implementation,Agriculture and Food Policy
1040653,debt adjustment under Farmers' Creditors Arrangement Act,Agriculture and Food Policy
1040634,debt compromises under the Farmers'-Creditors Arrangement Act,Agriculture and Food Policy
1040628,Farmers' Creditors Arrangement Act provisions,Agriculture and Food Policy
1040640,Farmers' Creditors Arrangement Act implementation,Agriculture and Food Policy
1040622,Farmers' Creditors Arrangement Act provisions,Agriculture and Food Policy
1040702,Farmers' Creditors Arrangement Act provisions,Agriculture and Food Policy
1040700,legal jurisdiction of the Farmers' Creditors' Arrangement Act,Agriculture and Food Policy
1040692,Farmers' Creditors Arrangement Act provisions,Agriculture and Food Policy
1040708,Farmers' Creditors Arrangement Act provisions,Agriculture and Food Policy
1040616,debt compromise provisions of Farmers' Creditors Arrangement Act,Agriculture and Food Policy
1040686,Farmers' Creditors Arrangement Act implementation,Agriculture and Food Policy
1040697,amendments to the Farmers' Creditors Arrangement Act,Agriculture and Food Policy
1040618,Farmers' Creditors Arrangement Act bankruptcy provisions,Agriculture and Food Policy
1040715,Farmers' Creditors Arrangement Act amendments,Agriculture and Food Policy
1040655,amendments to the Farmers' Creditors Arrangement Act,Agriculture and Food Policy
1040733,Farmers' Creditors Arrangement Act applications,Agriculture and Food Policy
1040742,costs of voluntary bankruptcy proceedings,Agriculture and Food Policy
1040682,Farmers' Creditors Arrangement Act bankruptcy provisions,Agriculture and Food Policy
1040732,bankruptcy relief for insolvent farmers,Agriculture and Food Policy
1040677,Farmers' Creditors Arrangement Act provisions,Agriculture and Food Policy
1040671,reduction of farmers' mortgage debt,Agriculture and Food Policy
1040676,Farmers' Creditors Arrangement Act implementation,Agriculture and Food Policy
1040756,Farmers' Creditors Arrangement Act board of review,Agriculture and Food Policy
1040744,amendment to the Farmers' Creditors Arrangement Act,Agriculture and Food Policy
1040688,Farmers' Creditors Arrangement Act legislation,Agriculture and Food Policy
1040712,Farmers' Creditors Arrangement Act amendments,Agriculture and Food Policy
1040752,legal representation for farmers under debt composition,Agriculture and Food Policy
1040746,legal aid for farmers under the Farmers'-Creditors' Arrangement Act,Agriculture and Food Policy
1040664,debt adjustment under Farmers' Creditors Arrangement Act,Agriculture and Food Policy
1040678,discretionary powers under the Farmers' Creditors Arrangement Act,Agriculture and Food Policy
1040675,reduction of interest rates under Farmers'-Creditors' Act,Agriculture and Food Policy
1040384,regulation of epilepsy medication availability,"Justice, Constitution, and Indigenous Affairs"
1040658,constitutional jurisdiction over provincial legislation,"Justice, Constitution, and Indigenous Affairs"
1040758,Farmers' Creditors Arrangement Act jurisdiction amendments,Agriculture and Food Policy
1040773,reduction of interest rates for farm loans,Agriculture and Food Policy
1040760,reporting requirements for the Farmers' Creditors Arrangement Act,Agriculture and Food Policy
1040774,extension of agricultural credit under farm loan act,Agriculture and Food Policy
1040775,extension of credit under the Canadian Farm Loan Act,Agriculture and Food Policy
1040847,farm loan mortgage amendments,Agriculture and Food Policy
1040821,amendments to the Canadian Farm Loan Act,Agriculture and Food Policy
1040777,provisions of the Canadian Farm Loan Act,Agriculture and Food Policy
1040820,farm loan board provincial jurisdiction,Agriculture and Food Policy
1040851,farm loan security and debt adjustment,Agriculture and Food Policy
1040788,reduction of interest rates on farm mortgages,Agriculture and Food Policy
1040812,administration of the Canadian Farm Loan Board,Agriculture and Food Policy
1040837,amendments to the farm loan act,Agriculture and Food Policy
1040836,federal financing for Saskatchewan farm loans,Agriculture and Food Policy
1040779,administration of the Canadian Farm Loan Act,Agriculture and Food Policy
1040828,farm loan board debt adjustment legislation,Agriculture and Food Policy
1040842,farm loan interest rates and amortization,Agriculture and Food Policy
1040849,farm loan act amendment and collateral requirements,Agriculture and Food Policy
1040815,parliamentary procedure regarding committee debate,Government and Parliamentary Affairs
1040850,interest rates on government loans,Public Finance and Taxation
1040877,Canadian National West Indies Steamships operating loan,Transportation and Communications
1040898,radio licence fee collection procedures,Transportation and Communications
1040811,farm loan board mortgage security criteria,Agriculture and Food Policy
1040949,Jacques Cartier anniversary commemoration funding,Government and Parliamentary Affairs
1040866,Canadian farm loan board operations,Agriculture and Food Policy
1040817,Canadian Farm Loan Act regulations,Agriculture and Food Policy
1040855,Canadian Farm Loan Act amendments,Agriculture and Food Policy
1040868,federal mortgage financing mechanisms,Agriculture and Food Policy
1040833,federal financial guarantee limits,Public Finance and Taxation
1040801,amendments to the Canadian Farm Loan Act,Agriculture and Food Policy
1040889,Canadian Radio Broadcasting Commission budget,Transportation and Communications
1040796,Canadian Farm Loan Act interest rates,Agriculture and Food Policy
1040967,purchase of government portraits,Government and Parliamentary Affairs
1040960,supplementary estimates for government departmental expenses,Public Finance and Taxation
1040907,radio interference inspection services for rural areas,Transportation and Communications
1040798,reduction of farm loan interest rates,Agriculture and Food Policy
1040973,repeal of the oath of allegiance,Government and Parliamentary Affairs
1040870,Canadian National Railways financial advances,Transportation and Communications
1040885,house of commons legislative schedule,Government and Parliamentary Affairs
1040829,federal jurisdiction over provincial debt adjustment acts,Natural Resources and Intergovernmental Relations
1040819,Canadian Farm Loan Board lending policies,Agriculture and Food Policy
1041050,repeal of the Dominion Notes Act,Banking and Monetary Policy
1041067,extension of farm credit in Saskatchewan,Agriculture and Food Policy
1041075,amendments to the Canada Shipping Act,Transportation and Communications
1041086,inspection of internal combustion vessels,Transportation and Communications
1041042,banking committee inquiry procedures and interlocking directorates,Banking and Monetary Policy
1041115,revision of the Canada Shipping Act,Transportation and Communications
1041015,construction of mining recorder building and lake of the woods water control compensation,Natural Resources and Intergovernmental Relations
1041140,safety regulations for home-trade voyages,Transportation and Communications
1041046,parliamentary committee procedure regarding employment of counsel,Government and Parliamentary Affairs
1041037,investigation into bank credit and industrial over-capitalization,Banking and Monetary Policy
1041045,New Brunswick water power development and allegations,Natural Resources and Intergovernmental Relations
1041123,Canada Shipping Act amendments,Transportation and Communications
1040786,reduction of farm mortgage interest rates,Agriculture and Food Policy
1040966,compensation for currency depreciation of Paris archives staff,Public Finance and Taxation
1041066,federal credit assistance for Saskatchewan farmers,Agriculture and Food Policy
1041126,certificated masters under the Canada Shipping Act,Transportation and Communications
1041074,provisions of the Canada Shipping Act,Transportation and Communications
1041039,banking and commerce committee investigation procedures,Government and Parliamentary Affairs
1040951,League of Nations financial obligations and exchange costs,Public Finance and Taxation
1041038,chartered bank interest rates and deflation policies,Banking and Monetary Policy
1041073,definition of home trade voyages in Canada Shipping Act,Transportation and Communications
1041108,impact of Canada Shipping Act on maritime fisheries,Transportation and Communications
1041082,certification requirements for ship masters and mates,Transportation and Communications
1040781,management of agricultural grain security sales,Agriculture and Food Policy
1041114,proposed amendments to the Canada Shipping Act,Transportation and Communications
1041117,Canada Shipping Act amendments,Transportation and Communications
1041155,Canada Shipping Act home trade voyage definitions,Transportation and Communications
1041246,relief for stranded seamen,Transportation and Communications
1041182,Canada Shipping Act amendments,Transportation and Communications
1041191,demarcation of inland and foreign shipping waters,Transportation and Communications
1041194,public works employment program,Social Welfare and Labour
1041118,mariner certificate requirements and investigations,Transportation and Communications
1041138,definition of home-trade voyages,Transportation and Communications
1041181,definitions of maritime voyage classifications,Transportation and Communications
1041159,Canada Shipping Act classification of trade voyages,Transportation and Communications
1041134,Canada Shipping Act vessel exemptions,Transportation and Communications
1041166,Canada Shipping Act amendments,Transportation and Communications
1041203,public works legislation printing,Government and Parliamentary Affairs
1041190,St. Lawrence River inland water limits,Transportation and Communications
1041263,pilotage requirements for the lower St. Lawrence River,Transportation and Communications
1041254,seaman discharge regulations in Canada Shipping Act,Transportation and Communications
1041170,definition of foreign voyage in Canada Shipping Act,Transportation and Communications
1041252,repatriation of stranded Canadian seamen,Transportation and Communications
1041174,amendments to the Canada Shipping Act,Transportation and Communications
1041265,compulsory pilotage on the St. Lawrence river,Transportation and Communications
1041267,compulsory pilotage on the St. Lawrence River,Transportation and Communications
1041334,Canada Shipping Act amendments,Transportation and Communications
1041164,definition of home trade voyages,Transportation and Communications
1041350,Canada Shipping Act legislative amendments,Transportation and Communications
1041287,correction of clerical errors in pilotage legislation,Transportation and Communications
1041438,administration of White Bear Indian reserve,"Justice, Constitution, and Indigenous Affairs"
1041357,Canada Shipping Act revision,Transportation and Communications
1041361,amendments to the Canada Shipping Act,Transportation and Communications
1041502,income tax on non-residents,Public Finance and Taxation
1041367,amendments to the Canada Shipping Act,Transportation and Communications
1041481,disclosure of government documents concerning wheat sales,Agriculture and Food Policy
1041275,amendment to pilotage dues in Canada Shipping Act,Transportation and Communications
1041277,compulsory pilotage amendments to Canada Shipping Act,Transportation and Communications
1041524,regulation of Lloyds and Canadian insurance companies,Banking and Monetary Policy
1041273,compulsory pilotage regulations on the St. Lawrence river,Transportation and Communications
1041313,amendments to the Canada Shipping Act,Transportation and Communications
1041480,tabling of wheat sales report,Agriculture and Food Policy
1041286,St. Lawrence river pilotage fees,Transportation and Communications
1041335,amendments to the Canada Shipping Act,Transportation and Communications
1041526,regulation of Lloyds insurance deposits,Banking and Monetary Policy
1041456,immediate dissolution of parliament,Government and Parliamentary Affairs
1041517,taxation of non-resident investment income,Public Finance and Taxation
1041353,unclear,Government and Parliamentary Affairs
1041368,geographical limits of home-trade voyages,Transportation and Communications
1041462,price of imported Welsh coal,International Trade and Tariffs
1041359,drafting of the Canada Shipping Act,Transportation and Communications
1041369,navigation regulations for the Canada Shipping Act,Transportation and Communications
1041478,tabling of correspondence regarding wheat sales,Agriculture and Food Policy
1041314,amendments to the Canada Shipping Act,Transportation and Communications
1041600,international disarmament negotiations,Veterans' and Military Affairs
1041534,amendments to the Canadian and British Insurance Companies Act,Banking and Monetary Policy
1041318,Canada Shipping Act legislative drafting revision,Transportation and Communications
1041603,international disarmament and peace promotion,Veterans' and Military Affairs
1041315,legal drafting of Canada Shipping Act amendments,Transportation and Communications
1041373,geographic limits for coastal vessel certificates,Transportation and Communications
1041626,retention of the Finance Act,Banking and Monetary Policy
1041538,regulation of Lloyds insurance operations,Banking and Monetary Policy
1041541,regulation of insurance company deposits,Banking and Monetary Policy
1041607,annual Canadian expenditures for the League of Nations,Public Finance and Taxation
1041503,amendments to income tax legislation,Public Finance and Taxation
1041612,employment of manual stone cutters for public buildings,Social Welfare and Labour
1041519,taxation of non-resident income,Public Finance and Taxation
1041532,amendment of Canadian and British Insurance Companies Act,Banking and Monetary Policy
1041613,public works labour costs and financing,Public Finance and Taxation
1041548,regulation of British insurance companies in Canada,Banking and Monetary Policy
1041505,taxation of non-resident trust income,Public Finance and Taxation
1041769,printing of tariff board reports,International Trade and Tariffs
1041619,Canadian wool utilization in government contracts,International Trade and Tariffs
1041743,importation of Australian wheat and flour,International Trade and Tariffs
1041783,Bank of Canada Act parliamentary procedure,Banking and Monetary Policy
1041575,insurance company registration requirements,Banking and Monetary Policy
1041812,private ownership of the Bank of Canada,Banking and Monetary Policy
1041752,delays in printing and distributing parliamentary bills,Government and Parliamentary Affairs
1041698,introduction of new government legislation,Government and Parliamentary Affairs
1041753,sale of wheat in the Orient,Agriculture and Food Policy
1041797,election of Bank of Canada directors,Banking and Monetary Policy
1041811,private ownership of the Bank of Canada,Banking and Monetary Policy
1041803,governance and control of the Bank of Canada,Banking and Monetary Policy
1041816,Bank of Canada Act private ownership and gold reserves,Banking and Monetary Policy
1041755,production of government documents,Government and Parliamentary Affairs
1041774,repairs and relocation of dredge no. 12,Public Finance and Taxation
1041763,seizure of German funds in Great Britain,Banking and Monetary Policy
1041790,public ownership of the Bank of Canada,Banking and Monetary Policy
1041691,incorporation of a joint railway express company,Transportation and Communications
1041217,mariner certificate validity and cancellation procedures,Transportation and Communications
1041749,Australian wheat and flour imports,International Trade and Tariffs
1041733,Sillarsville post office mail contract,Transportation and Communications
1041683,parliamentary private bill referrals,Government and Parliamentary Affairs
1041240,seaman discharge certificate regulations,Transportation and Communications
1041810,government ownership of the Bank of Canada,Banking and Monetary Policy
1041823,public ownership of the Bank of Canada,Banking and Monetary Policy
1041806,public ownership of the Bank of Canada,Banking and Monetary Policy
1041804,public ownership of the Bank of Canada,Banking and Monetary Policy
1041693,Canadian Railway Express Company legislation,Transportation and Communications
1041651,ratification of dominion note issues and railway advances,Public Finance and Taxation
1041853,government control of the Bank of Canada,Banking and Monetary Policy
1041807,public ownership of the Bank of Canada,Banking and Monetary Policy
1041839,government control of the Bank of Canada,Banking and Monetary Policy
1041822,establishment of the Bank of Canada,Banking and Monetary Policy
1041909,national control of the Bank of Canada,Banking and Monetary Policy
1041929,appointment of central bank leadership,Banking and Monetary Policy
1041966,appointment of Sir Henry Thornton as railway head,Transportation and Communications
1041915,establishment of the Bank of Canada,Banking and Monetary Policy
1041981,appointment of a Canadian governor for the Bank of Canada,Banking and Monetary Policy
1042053,establishment of the Bank of Canada,Banking and Monetary Policy
1041968,qualifications for Bank of Canada directors,Banking and Monetary Policy
1041649,dominion notes and railway financing,Public Finance and Taxation
1041896,government control of Bank of Canada shares,Banking and Monetary Policy
1041910,nationality requirements for Bank of Canada directors,Banking and Monetary Policy
1041826,private versus political control of Bank of Canada,Banking and Monetary Policy
1041828,appointment of Bank of Canada officials,Banking and Monetary Policy
1042010,government acquisition of Bank of Canada shares,Banking and Monetary Policy
1042031,government redemption of Bank of Canada shares,Banking and Monetary Policy
1042042,public ownership of the Bank of Canada,Banking and Monetary Policy
1042073,Bank of Canada governance and independence,Banking and Monetary Policy
1041952,appointment of Bank of Canada governor,Banking and Monetary Policy
1042014,independence of the Bank of Canada,Banking and Monetary Policy
1041976,establishment of the Bank of Canada,Banking and Monetary Policy
1041926,nationality requirements for Bank of Canada officials,Banking and Monetary Policy
1042012,state redemption of Bank of Canada shares,Banking and Monetary Policy
1042019,Bank of Canada Act legislation,Banking and Monetary Policy
1042016,establishment of the Bank of Canada,Banking and Monetary Policy
1042017,establishment of the Bank of Canada,Banking and Monetary Policy
1041951,appointment of the first Bank of Canada governor,Banking and Monetary Policy
1041923,appointment of Bank of Canada leadership,Banking and Monetary Policy
1041982,public ownership and management of central bank,Banking and Monetary Policy
1042003,Bank of Canada director selection process,Banking and Monetary Policy
1042008,appointment of Bank of Canada executive officers,Banking and Monetary Policy
1042063,government control of the Bank of Canada,Banking and Monetary Policy
1042002,appointment of Bank of Canada officials,Banking and Monetary Policy
1042049,establishment of the Bank of Canada,Banking and Monetary Policy
1041962,establishment of the Bank of Canada,Banking and Monetary Policy
1041921,appointment of foreign experts for the central bank,Banking and Monetary Policy
1041933,appointment of a Canadian governor for the Bank of Canada,Banking and Monetary Policy
1042075,Bank of Canada ownership and independence,Banking and Monetary Policy
1041979,appointment of a Canadian Bank of Canada governor,Banking and Monetary Policy
1041950,national control of the Bank of Canada,Banking and Monetary Policy
1042072,private ownership and control of the Bank of Canada,Banking and Monetary Policy
1042022,parliamentary control of the Bank of Canada,Banking and Monetary Policy
1041931,appointment of Canadian central bank officials,Banking and Monetary Policy
1042065,establishment of the Bank of Canada,Banking and Monetary Policy
1041954,establishment of the Bank of Canada,Banking and Monetary Policy
1042080,establishment of the Bank of Canada,Banking and Monetary Policy
1042074,private control of the Bank of Canada,Banking and Monetary Policy
1042069,establishment of the Bank of Canada,Banking and Monetary Policy
1042011,amendment regarding government ownership of Bank of Canada shares,Banking and Monetary Policy
1042061,establishment of the Bank of Canada,Banking and Monetary Policy
1042083,establishment of the Bank of Canada,Banking and Monetary Policy
1042071,establishment of the Bank of Canada,Banking and Monetary Policy
1042188,disfranchisement of orientals in British Columbia,"Justice, Constitution, and Indigenous Affairs"
1042159,Dominion Franchise Act legislation procedures,Government and Parliamentary Affairs
1042180,Dominion Franchise Act provisions,Government and Parliamentary Affairs
1042081,central bank discount rate policy,Banking and Monetary Policy
1042086,private control of the Bank of Canada,Banking and Monetary Policy
1042166,Dominion Franchise Act legislation,Government and Parliamentary Affairs
1042096,importation of Australian wheat and flour,International Trade and Tariffs
1042087,establishment of the Bank of Canada,Banking and Monetary Policy
1042084,private ownership of the Bank of Canada,Banking and Monetary Policy
1042076,government control of the Bank of Canada,Banking and Monetary Policy
1042184,Dominion Franchise Act legislative process,Government and Parliamentary Affairs
1042122,Dominion Franchise Act legislation,Government and Parliamentary Affairs
1042124,Dominion Franchise Act electoral reforms,Government and Parliamentary Affairs
1042110,Dominion Franchise Act and electoral representation,Government and Parliamentary Affairs
1042116,proportional representation and electoral reform,Government and Parliamentary Affairs
1042145,procedural rules for committee appointments,Government and Parliamentary Affairs
1042199,allegations of fraudulent election propaganda,Government and Parliamentary Affairs
1042210,Dominion Franchise Act draft legislation consultations,Government and Parliamentary Affairs
1042133,Dominion Franchise Act and electoral registration procedures,Government and Parliamentary Affairs
1042212,Dominion Franchise Act legislation procedures,Government and Parliamentary Affairs
1042208,allegations of breach of parliamentary confidence,Government and Parliamentary Affairs
1042105,proposed amendments to the dominion elections act,Government and Parliamentary Affairs
1042160,Dominion Franchise Act legislation,Government and Parliamentary Affairs
1042148,confidentiality of political party conferences,Government and Parliamentary Affairs
1042200,Dominion Franchise Act provisions,Government and Parliamentary Affairs
1042172,Dominion Franchise Act legislation procedures,Government and Parliamentary Affairs
1042225,Dominion Franchise Act amendments,Government and Parliamentary Affairs
1042224,alleged misrepresentation of political party publication address,Government and Parliamentary Affairs
1042222,Dominion Franchise Act amendments,Government and Parliamentary Affairs
1042336,establishment of the Bank of Canada,Banking and Monetary Policy
1042305,imperial trade policy and central bank influence,International Trade and Tariffs
1042357,bilingual currency on Bank of Canada notes,Banking and Monetary Policy
1042295,Bank of Canada reserve requirements,Banking and Monetary Policy
1042338,establishment of the Bank of Canada,Banking and Monetary Policy
1042389,official bilingualism on Canadian currency,Banking and Monetary Policy
1042341,Bank of Canada Act amendment regarding securities,Banking and Monetary Policy
1042243,powers of the proposed Bank of Canada,Banking and Monetary Policy
1042355,bilingual Bank of Canada currency notes,Banking and Monetary Policy
1042371,bilingual currency on Bank of Canada notes,Banking and Monetary Policy
1042379,establishment of the Bank of Canada,Banking and Monetary Policy
1042467,bank name translations in Bank Act amendments,Banking and Monetary Policy
1042384,bilingual bank notes for the Bank of Canada,Banking and Monetary Policy
1042387,bilingual currency on Bank of Canada notes,Banking and Monetary Policy
1042466,bank act amendments and naming conventions,Banking and Monetary Policy
1042304,appointment of the Bank of Canada governor,Banking and Monetary Policy
1042297,establishment of the Bank of Canada,Banking and Monetary Policy
1042307,governance of the Bank of Canada,Banking and Monetary Policy
1042241,Bank of Canada board composition amendment,Banking and Monetary Policy
1042429,unified operation of railway subsidiary services,Transportation and Communications
1042343,amendment to Bank of Canada Act,Banking and Monetary Policy
1042251,government control of the Bank of Canada,Banking and Monetary Policy
1042332,establishment of the Bank of Canada,Banking and Monetary Policy
1042385,establishment of the Bank of Canada,Banking and Monetary Policy
1042425,Stotland divorce bill procedure,"Justice, Constitution, and Indigenous Affairs"
1042205,leak of a confidential memorandum,Government and Parliamentary Affairs
1042365,bilingualism of Bank of Canada notes,Banking and Monetary Policy
1042314,suspensive veto power for Bank of Canada,Banking and Monetary Policy
1042316,Bank of Canada Act deputy minister powers,Banking and Monetary Policy
1042283,Bank of Canada gold reserve requirements,Banking and Monetary Policy
