basepk,topic,error
1132401,freight assistance for livestock transportation,
1132617,congratulations to Ernest Lapointe on his parliamentary anniversary,
1132732,Langley Prairie airport land acquisition inquiry,
1132615,anniversary of Ernest Lapointe’s parliamentary service,
1132636,regulation of small loan interest rates,
1132759,Canada-United States reciprocal tax convention refunds,
1132689,prime minister's official visit to Germany,
1132694,Canadian participation in Singapore dry dock opening,
1132622,free distribution of the Parliamentary Guide,
1132608,parliamentary procedure regarding motions for adjournment,
1132701,drought area boundaries and settler assistance,
1132637,regulation of small loan interest rates,
1132733,Langley Prairie emergency landing field construction,
1132715,International Pacific Salmon Fisheries Commission expenses,
1132717,farm debt adjustment statistics,
1132827,Trans-Canada Air Lines management and operations,
1132802,expenditures of the veterans' assistance commission,
1132712,status of West Toronto customs outport,
1132806,federal unemployment and agricultural relief projects,
1132711,West Toronto customs and excise outport administration,
1132685,Canada's participation in the Brussels Conference,
1132700,soldier settlement payment arrears in drought areas,
1132838,costs of the royal commission on textiles,
1132702,government expenditures on grain elevator facilities,
1132747,Auditor General office record-keeping and staffing,
1132811,RCMP investigations and immigration statistics,
1132855,canadian coal imports and industrial resource production,
1132923,disclosure of Canadian Broadcasting Corporation internal documents,
1132803,Veterans' Assistance Commission expenditures and operations,
1132771,maintenance of Parliament Hill grounds,
1132808,federal expenditures on Trans-Canada Highway construction,
1132952,adoption of a distinctive Canadian flag,
1132925,parliamentary oversight of Canadian Broadcasting Corporation expenditures,
1132659,provincial tax revenue data collection,
1132849,Department of National Defence naval expenditures,
1132829,Hudson Bay watershed water diversion,
1132909,expenditures of the royal commission on dominion-provincial relations,
1133024,additional shipping space for cattle exports,
1132865,statistical data on Canadian hydro-electrical energy development,
1132697,deployment and operations of the Canadian Navy,
1133011,Canada-United States trade agreement tariff reductions,
1132688,Prime Minister's visit to Nazi Germany,
1132851,government special commissions and expenditures,
1132964,adoption of a Canadian national flag,
1132997,adoption of a distinctive Canadian flag,
1132682,Canadian legation in Japan and Sino-Japanese conflict,
1132843,Tory coal commission report and findings,
1133044,electoral reform and political party principles,
1132914,disclosure of national defence contracts,
1132979,adoption of a distinctive Canadian flag,
1132935,employment of multiple family members in civil service,
1133037,investigation into electoral corruption and railway contracts,
1133020,distribution of the Canadian Parliamentary Guide,
1133046,national tariff policy and protectionism,
1133048,political corruption and economic policy,
1132978,retention of the Union Jack as national flag,
1133032,amendments to sick mariners' dues regulations,
1132956,adoption of a distinctive Canadian flag,
1132959,official Canadian flags and heraldry,
1132966,adoption of a distinctive Canadian national flag,
1133050,causes of political corruption,
1133080,allegations of social credit electoral bribery,
1132836,costs of the royal commission on wheat marketing,
1133052,public funding of political election campaigns,
1133095,parliamentary disciplinary procedures and traditions,
1133042,principles of laissez-faire economic policy,
1132993,adoption of a distinctive Canadian flag,
1132995,official flag of the governor general,
1133083,investigation of electoral corruption charges,
1132977,adoption of a distinct Canadian flag,
1132968,official canadian flag design and usage,
1133072,Social Credit monetary policy proposals,
1133191,allegations of corrupt practices in government contracts,
1133077,critique of social credit economic policy,
1133175,investigation into alleged corrupt electoral practices,
1133084,electoral corruption and railway contract investigation motion,
1133102,Beauharnois scandal and political campaign funding,
1133100,remission of judicial sentences,
1133177,allegations of political corruption,
1133097,defense of democratic and parliamentary institutions,
1133089,parliamentary standards for investigating member conduct,
1133118,Liberal party campaign funding and political ethics,
1133144,corrupt electoral practices and campaign financing,
1133138,allegations of electoral corruption,
1133055,allegations of corrupt electoral practices,
1132834,costs of the royal commission on penitentiary reform,
1133300,employment preference for returned soldiers,
1133265,unemployed veterans' assistance recommendations,
1133142,allegations of electoral fraud,
1133296,proposed amendments to the Pension Act,
1133122,allegations of political corruption and campaign financing,
1132821,Niagara River infrastructure and ice protection works,
1133261,land expropriation for Prince Edward Island National Park,
1133210,parliamentary procedure and partisan conduct,
1133201,regulation of election campaign finances,
1133152,electoral law reform and corrupt practices,
1133312,veterans' pension administration expenses,
1133378,government administrative overhead costs,
1133246,legal protection for trade union organization,
1133236,bilingualism requirements for civil service appointments,
1133256,expropriation for Prince Edward Island National Park,
1133207,allegations of parliamentary corruption,
1133287,recommendations of the veterans' assistance commission,
1133235,bilingual language requirements for civil servants,
1133272,department of pensions and national health staffing,
1133475,the official national flag of Canada,
1133251,Prince Edward Island National Park legislation,
1133498,weights and measures inspection service fees,
1133275,recommendations of the veterans' assistance commission,
1133288,war veterans' pensions and assistance legislation,
1133255,Prince Edward Island National Park administration,
1133351,departmental staff reduction,
1133195,regulation of political contributions and electoral integrity,
1133238,bilingualism requirements for civil service appointments,
1133254,establishment of Prince Edward Island National Park,
1133315,Canadian pension commission administrative estimates,
1133471,official status of the Union Jack in Canada,
1133346,veterans' preference in federal employment,
1133345,restructuring of departmental estimates for pension administration,
1133383,administrative costs of the department of national revenue,
1133317,statutory nature of annual government expenditures,
1133274,duties of a confidential messenger,
1133389,Department of National Revenue administrative costs,
1133263,parliamentary procedure for pension estimates,
1133350,parliamentary procedure regarding pension committee discussions,
1133489,Canadian Wheat Board operations and expenditures,
1132990,adoption of a national Canadian flag,
1133354,administration of veterans' pensions,
1133399,customs officers overtime pay policy,
1133500,protection of railway crossing signals,
1133295,veterans' legislation implementation,
1133276,departmental estimates and pension discussions,
1133299,pension act amendments and administration,
1133382,Department of National Revenue budget estimates,
1133474,official status of the Canadian flag,
1133388,Department of National Revenue administrative expenditures,
1133384,Department of National Revenue budget estimates,
1133510,Canadian pavilion at Paris Exposition,
1133503,General Dredging Company Limited financial transactions,
1133262,expropriation of property for Prince Edward Island National Park,
1133506,sale of Sorel shipyard and dredging fleet,
1133527,1935 wheat board crop statistics,
1133509,Canadian pavilion personnel and exhibits at the Paris exposition,
1133513,parliamentary oversight of Canadian Broadcasting Corporation affairs,
1133507,sale of Sorel shipyard and dredging fleet,
1132982,adoption of a distinctive Canadian flag,
1133017,investigation into high food prices and combines,
1132958,adoption of a national Canadian flag,
1133525,provision of wheat board sales statistics,
1133580,administration of customs tariff valuations and classifications,
1133590,administration of customs tariff valuation provisions,
1133623,Canadian Broadcasting Corporation station CBL programming statistics,
1133501,railway grade crossing safety equipment,
1133646,parliamentary procedure regarding government policy announcements,
1133606,customs duty exemption regulations,
1133651,diversion of northern Ontario rivers into Lake Superior,
1133539,parliamentary procedure for motions for papers,
1133054,investigation of electoral corruption and campaign funding,
1133657,cancellation of radio address by station CKCL,
1133667,compensation for damages from snow fences,
1133634,Canadian Broadcasting Corporation property acquisition,
1133603,revision of the Customs Act,
1133622,Canadian Broadcasting Corporation station CBL programming statistics,
1133668,jurisdiction over railway snow fence damages,
1133688,drunk driving and traffic law enforcement,
1133696,Criminal Code amendments regarding intoxicated driving,
1133685,criminal code amendments regarding motor vehicle offences,
1133403,department of national revenue staffing levels,
1133604,customs duty valuation and regulations,
1133693,Criminal Code amendments regarding motor vehicle safety,
1133652,St. Lawrence waterway and power export correspondence,
1133718,restriction of Japanese immigration,
1133742,Japanese immigration and British subject rights,
1133694,Criminal Code amendments regarding motor vehicle accidents,
1133644,federal unemployment relief grants to Ontario,
1133629,Crowsnest Pass agreement grain freight rates,
1133734,regulation of oriental immigration,
1133698,criminal code amendments regarding motor vehicle offences,
1133729,oriental immigration restrictions,
1133728,restriction of japanese immigration to canada,
1133719,Japanese immigration restriction,
1133691,automobile accident insurance rates and safety legislation,
1133692,reckless driving and highway safety legislation,
1133563,parliamentary procedure regarding notice of motions,
1133720,restrictions on oriental immigration,
1133760,copyright fees for public radio reception,
1133690,regulation of motor vehicle accidents,
1133787,Farmers' Creditors Arrangement Act amendments,
1133774,fodder relief for Ravenscrag farmers,
1133793,amendments to the Farmers' Creditors Arrangement Act,
1133801,Farmers' Creditors Arrangement Act impact,
1133738,Japanese immigration agreement compliance,
1133682,Criminal Code amendments for motor vehicle offences,
1133639,emergency fodder relief for Ravenscrag farmers,
1133817,Farmers' Creditors Arrangement Act bankruptcy discharge limitations,
1133708,restriction of Japanese immigration to Canada,
1133711,Japanese immigration to British Columbia,
1133700,criminal code amendments regarding automobile driving,
1133727,restriction of oriental immigration,
1133771,federal unemployment relief grant for Halifax,
1133851,extension of Farmers' Creditors Arrangement Act to urban residents,
1133863,veteran medical treatment and pension eligibility,
1133866,medical and dental treatment for veterans,
1133785,repeal of the Farmers' Creditors Arrangement Act,
1133830,administration of the Ontario board of review,
1133896,veteran pension administration and medical treatment,
1133857,pension commission staff salaries,
1133818,amendments to the Farmers' Creditors Arrangement Act,
1133797,debt reduction under the Farmers' Creditors Arrangement Act,
1133765,copyright royalties for radio reception,
1133816,impact of farmers' creditors arrangement act,
1133897,veteran pension claim processing,
1133887,dental treatment for war pensioners,
1133886,veteran dental care eligibility regulations,
1133794,Farmers' Creditors Arrangement Act creditor protections,
1133821,administration of the Farmers' Creditors Arrangement Act,
1133847,administration of farm debt adjustment boards,
1133899,Canadian Pension Commission disability entitlement decisions,
1133875,veteran pension application statistics,
1133799,agricultural credit for young farmers,
1133819,administration of the Farmers' Creditors Arrangement Act,
1133865,veteran pension eligibility for neurological cases,
1133909,veterans' pension appeal procedures,
1133862,authorization of medical treatment for pensioners,
1133835,Farmers' Creditors Arrangement Act debt adjustments,
1133915,veterans' pension appeal statistics,
1133916,pension appeals for disabled veterans,
1133994,veterans' pension appeal statistics,
1133911,abolition of the pension appeal court,
1133952,abolition of the pension appeal court,
1133954,veterans' pension appeal process,
1134052,pensions appeal court administration,
1133934,Department of Pensions and National Health estimates,
1134008,veterans' pension appeal process,
1133971,veteran disability pension assessment criteria,
1133984,legislative exclusion of Japanese immigrants,
1133982,Japanese immigration restriction legislation,
1133985,Japanese immigration restriction legislation,
1133980,Japanese immigration exclusion legislation,
1134080,Canadian Farm Loan Board legal fees,
1133970,veterans' pension appeal procedures,
1134012,pension appeal court procedures,
1134056,administration of veterans' pension benefits,
1134006,veterans pension appeal statistics,
1134020,veteran pension claims and appeal processes,
1133983,Japanese immigration policy and international neutrality,
1134060,legal principles regarding appellate court inferences,
1134103,Jacques Cartier bridge capital costs and deficits,
1134038,veterans' pension appeal process,
1134097,calculation of Canadian war debt,
1134024,veterans' pension appeal claims,
1131537,prevention of Niagara River ice jams,
1134112,Lansdowne rural mail delivery contract tenders,
1133987,Japanese immigration and international neutrality,
1131545,economic rehabilitation of drought-stricken Saskatchewan,
1134040,administration of pension claims,
1134051,veterans' pension appeal board procedures,
1131562,monetary reform and economic depression policy,
1134102,financial status of Montreal harbour and bridge,
1131529,investigation of corrupt electoral practices,
1134059,veterans' pension benefit of the doubt policy,
1134014,adjudication of veterans' pension claims,
1134050,veterans' pension benefit of the doubt clause,
1133721,restriction of oriental immigration,
1134126,pensions appeal court statistics,
1134013,pension appeal court reform,
1134010,veteran death benefits appeal process,
1134100,federal funding for Toronto municipal airports,
1134212,economic development in eastern Canada,
1134018,veteran pension claim legal liability,
1131558,investigation of political corruption charges,
1134201,irrigation and land development in western Canada,
1134168,irrigation and water conservation in Saskatchewan,
1134142,establishment of Ile au Heron bird sanctuary,
1134064,benefit of the doubt clause in pension applications,
1134124,Colonel J. L. Regan's pension and employment,
1134086,sale of St. Lawrence dredging fleet equipment,
1134159,irrigation and water conservation in Saskatchewan,
1134164,water conservation and irrigation in Saskatchewan,
1134049,benefit of the doubt clause for veterans,
1134147,requests for tax information returns,
1134269,Civil Service Act inquiry committee scope,
1134138,government relief supplies distribution in prairie provinces,
1134197,small-scale water conservation and irrigation projects,
1134224,rehabilitation of western drought-stricken areas,
1134188,irrigation project economic viability,
1134268,inquiry into civil service act operations,
1134279,canadian national defence policy and foreign commitments,
1134228,prairie water resources and measurement data,
1134284,Department of Mines and Resources administrative functions,
1133845,Farmers' Creditors Arrangement Act amendments,
1134280,national defence policy estimates,
1134246,western Canadian irrigation project costs,
1134331,civil service appointments and salaries for scientists,
1134248,western Canada irrigation project feasibility,
1134174,rehabilitation of western Canadian drought areas,
1134223,prairie drought relief and agricultural rehabilitation programs,
1134199,western Canada irrigation and water conservation projects,
1134208,irrigation and rehabilitation of Saskatchewan drought areas,
1134173,Red Deer river valley irrigation project,
1133955,pension appeal court statistics,
1134261,repeal of the Companies' Creditors Arrangement Act,
1134314,Dominion Observatory operations,
1134323,coordination of astronomical observatories with universities,
1134232,western Canada water supply and irrigation projects,
1134322,federal funding for astrophysical observatories,
1134171,irrigation and rehabilitation of western drought areas,
1134351,government administrative oversight,
1134294,construction of trans-canada highway section,
1134347,modernization of government astronomical equipment,
1134285,coordination of federal survey services,
1134214,procedural ruling and parliamentary conduct,
1134045,pension appeal court judicial appointments,
1134375,Canadian scientific civil service salaries,
1134363,accurate determination of time by the observatory,
1134418,departmental temporary assistance and wage estimates,
1134330,government astronomer salary scales,
1134395,federal water and power bureau funding,
1134419,hydrometric gauge reader compensation,
1134349,Dominion Observatory staffing and equipment,
1134436,exportation of electric power,
1134332,civil service salary scales for technical experts,
1134454,federal government expenditure reduction,
1134465,government expenditure reduction,
1134444,departmental budget estimates,
1134376,obsolete equipment at national research laboratories,
1134494,Lac Seul water level regulation,
1134453,reduction of government departmental expenditures,
1134394,duplication of governmental water power administration,
1134388,funding for the Ottawa observatory,
1134535,hiring practices for temporary government employees,
1134536,hydrographic survey ship operating expenses,
1134451,reduction of government expenditures,
1134474,application of the consolidated revenue and audit act,
1134466,federal government main estimates,
1134401,water resource management in western provinces,
1134424,grant for the world power conference,
1134429,Canada's contribution to the London conference office,
1134546,Copyright Amendment Act and performing rights regulation,
1134500,Department of Mines and Resources administrative expenditures,
1134646,appointment of a clerk of tenders,
1134573,hydrographic survey vessel operating expenses,
1134552,copyright performing rights for radio broadcasting,
1134643,Department of Public Works travelling expenses,
1134604,legal appropriation of departmental funds,
1134554,copyright amendment act regarding musical works,
1134527,International Boundary Commission maintenance,
1134595,legal surveys and map production,
1134610,civil service hiring practices for temporary assistance,
1134473,Dominion water and power bureau accounting procedures,
1134559,dual employment of immigration and customs officers,
1134659,Post Office Department staffing estimates,
1132619,anniversary of parliamentary service,
1134692,presentation of Post Office Department estimates,
1134720,accounting practices for departmental estimates,
1134709,Post Office Department financial reporting,
1134651,centralisation of government purchasing procedures,
1134549,Canadian Performing Right Society broadcasting fees,
1134624,completion of the book of remembrance,
1134649,appointment of a clerk of tenders,
1134713,Post Office Department financial estimates reporting,
1134737,financial accountability of the Post Office Department,
1134691,Post Office Department budget estimates,
1134695,Post Office Department revenue and expenditure estimates,
1134708,Post Office Department financial reporting and bookkeeping,
1134693,Post Office Department financial reporting and estimates,
1134372,obsolete federal research equipment and brain drain,
1134449,Department of Mines and Resources staff turnover,
1134647,department of public works tender procedures,
1134773,relief for northern indigenous populations,
1134813,northern mining development and administrative planning,
1134759,reindeer herding project for northern indigenous populations,
1134777,slaughter and management of buffalo herds,
1134728,funding for vetcraft shops,
1134754,administration of Department of Mines and Resources,
1134639,relocation of a Toronto post office,
1134438,export of Canadian electric power,
1134756,administration of national parks and migratory birds,
1134883,heavy duty scale usage statistics,
1134805,health and education services in Arctic territories,
1133972,military pension reform,
1134738,accounting for shared post office building facilities,
1134743,unnecessary construction of post office buildings,
1134729,Post Office Department financial estimates reporting,
1134957,revision of house of commons rules,
1134825,Department of Mines and Resources supplementary expenditures,
1134993,revision of house of commons rules,
1134989,revision of house rules and procedure,
1134985,revision of House of Commons rules,
1134984,revision of house of commons rules,
1135087,Trans-Canada Air Lines legislative amendments,
1134919,provincial relief administration records,
1135003,revision of house of commons rules,
1134974,revision of parliamentary rules and procedure,
1135113,registration of labour union shop cards,
1134970,parliamentary procedure and committee system reform,
1134940,confidentiality of old age pensioner lists,
1134987,revision of house of commons rules,
1134976,limitation of house of commons speeches,
1134932,disclosure of customs and excise tax refunds,
1134982,revision of house of commons rules,
1135074,disallowance of Quebec's Padlock Act,
1135024,maple sugar and syrup production statistics,
1135094,inspection and sale of staple commodities,
1134994,revision of house of commons rules,
1135096,regulations for salvaged binder twine,
1134882,inspection and repair of heavy duty scales,
1135033,Canada-United States trade agreement statistics,
1134962,parliamentary procedure and legislative working hours,
1135116,registration of labour union shop cards,
1134717,Post Office Department budgetary and expenditure reporting,
1134954,revision of house of commons rules,
1134885,veterans' pension statistics,
1135057,appointment of committee for government railways and shipping,
1134913,reconstruction of Niagara river bridges,
1134966,revision of House of Commons sitting hours,
1134910,federal unemployment relief funding for Victoriaville sewers,
1135142,registration of labour union shop cards,
1134980,reform of parliamentary debate practices,
1135196,registration of labour union shop cards,
1135124,labour union shop card registration,
1134978,parliamentary procedure and conduct of debate,
1134918,prairie provinces relief administration expenditure inquiry,
1135123,registration of trade union shop cards,
1135242,sick mariners' dues under Canada Shipping Act,
1135316,regulation of narcotic drug cultivation,
1135315,eradication of marijuana plants,
1135136,registration of labour union shop cards,
1135266,cultivation of narcotic cannabis in Canada,
1135154,registration of labour union shop cards,
1135176,registration of union labels and shop cards,
1135332,amendments to the Opium and Narcotic Drug Act,
1135277,eradication of narcotic-producing plants,
1135331,regulation of codeine sales,
1135323,government regulation of narcotic drugs,
1135208,judicial appeal rights for shop card registration,
1135239,sick mariners fund shipping dues amendment,
1135345,narcotic drug control and inspection,
1135282,marihuana and industrial hemp regulation,
1135317,eradication of marijuana plants,
1135246,sick mariners' fund shipping dues collection,
1135132,labour union shop card registration definitions,
1135324,regulation of narcotic drug importation and distribution,
1135382,statutory grading of garnet wheat,
1135399,reorganization of Department of Transport fleet operations,
1135281,eradication of marijuana production,
1135283,prohibition of commercial narcotic production,
1135209,registration of labour union shop cards,
1135118,registration of labour union shop cards,
1135284,hemp cultivation regulation,
1135320,amendments to the Opium and Narcotic Drug Act,
1135313,public education on marijuana harms,
1135254,sick mariners fund levy requirements,
1135353,enforcement of the Opium and Narcotic Drug Act,
1135271,prohibition of marijuana cultivation and use,
1135390,reduction of the department of transport fleet,
1135388,maintenance and inventory of government marine vessels,
1135319,regulation of wild marihuana possession,
1135207,shop card registration ministerial discretion,
1135163,registration of labour union labels,
1135470,Yukon air mail route subsidy allocation,
1135473,air mail service payment arrangements,
1135429,Trans-Canada Air Lines operations and feeder services,
1135435,trans-canada air route development,
1135344,enforcement of the Opium and Narcotic Drug Act,
1135456,civil aviation landing speeds,
1135428,development of Trans-Canada Air Lines feeder services,
1135500,Post Office Department administration,
1135471,postal service for northern Alberta communities,
1135462,commercial airline navigation and weather procedures,
1135461,radio beam navigation for trans-Canada aviation,
1135484,civil aviation administrative funding,
1135529,development of maritime provinces airway services,
1135466,Yukon air service and transport routes,
1135505,development of commercial air routes to Yukon,
1135474,commercial aviation route planning,
1135469,licensing of commercial air routes,
1135440,Windsor airport site negotiations,
1135359,regulation of poppy seed consumption,
1135498,awarding of a Vancouver-Yukon mail contract,
1135460,training of canadian pilots for trans-canada air lines,
1135476,development of aviation routes in Saskatchewan,
1135433,Calgary municipal airport development,
1135543,development of trans-Canada airways,
1135479,air mail service licensing for Yukon routes,
1135565,construction of civil aviation landing fields,
1135561,Toronto island to mainland passenger transportation,
1135472,Edmonton to Yukon air route development,
1135463,trans-atlantic air navigation safety and pilot training,
1135518,trans-canada airways development and operations,
1135512,development of trans-canada airway landing fields,
1135452,federal funding for municipal airport development,
1135464,transatlantic and trans-Canada aviation services,
1135600,capital expenditure for civil aviation infrastructure,
1135545,expansion of maritime air routes,
1135556,Trans-Canada Air Lines maritime service extension,
1135557,maritime provinces aviation infrastructure and licensing,
1135624,trans-continental air route development,
1135635,development of Malton airport,
1135675,expansion of commercial air service infrastructure,
1135568,maritime provinces air service facilities,
1135640,selection of Moncton as Trans-Canada Air Lines terminus,
1135569,government expenditure on air services,
1135594,construction and maintenance of Saskatchewan airports,
1135653,Chilliwack and Langley emergency landing fields,
1135667,maritime provinces air mail service,
1135623,Trans-Canada Air Lines route planning,
1135685,Trans-Canada Air Lines route expansion,
1135589,maintenance and operation of airways and airports,
1135628,transatlantic air mail service development,
1135677,Trans-Canada Air Lines maritime route expansion,
1135725,constitutional validity of shop cards registration bill,
1135576,feeder line policy for Canadian airways,
1135547,trans-Canada air line service in the Maritimes,
1135586,Trans-Canada Air Lines feeder routes,
1135758,pensions for widows of ex-service men,
1135603,"railway mail service to Trail, British Columbia",
1135754,veterans' widows pension eligibility,
1135736,Great Lakes water levels and power export,
1135657,Chilliwack airport development,
1135619,development of canadian commercial air transport,
1135757,veteran pension benefits,
1135731,consultation on British foreign policy,
1135779,veterans' widows' pensions,
1135794,war veterans' widows' pensions,
1135638,Trans-Canada Air Lines route and airport infrastructure,
1135787,war veterans' widows' pension eligibility,
1135735,Great Lakes water diversion correspondence,
1135718,marketing difficulties for western cattle in Ontario,
1135745,veteran disability pension application statistics,
1135792,war widows and dependents pensions,
1135753,pensions for widows of veterans,
1135287,marihuana control and enforcement legislation,
1135756,war veterans' allowance for widows,
1135752,pension eligibility for war widows,
1135755,pensions for war veterans' widows,
1135763,veteran war widow pension eligibility,
1135795,disability pension statistics for war veterans,
1135791,veterans' pension eligibility and claims,
1135824,pensions for widows of veterans,
1135802,veteran widows' pension eligibility,
1135830,veterans' widows' pensions,
1135714,fodder relief for Bone Creek farmers,
1135692,coordination of civil and military airport facilities,
1135798,pensions for widows of veterans,
1135747,veteran pension appeal statistics,
1135860,veteran medical treatment and pension claims,
1135546,trans-Canada air route development,
1135442,development of Toronto airports,
1135864,veteran dental treatment eligibility,
1135797,veterans' disability pension dependents,
1135836,pension claim for disability-related accidental death,
1135719,shipping space for cattle exports to Britain,
1135831,continuation of veteran pensions for widows,
1135827,discretionary pension benefits for soldiers' widows,
1135959,criminal code amendment regarding trade union membership,
1135876,veteran disability pension increase,
1135856,veteran pension application deadlines and medical treatment,
1135804,pension benefits for widows of war veterans,
1135865,veteran dental treatment regulations,
1135883,pension eligibility for imperial war veterans,
1135825,widow's war pension appeal process,
1135857,coordination of veterans' medical and pension services,
1135897,veterans' pension act amendments,
1135832,old-age pension eligibility decisions,
1135981,Post Office Department financial reporting,
1135944,legal protection for trade union organization,
1135955,constitutionality of Criminal Code trade union provisions,
1135942,legal protection against anti-union dismissal,
1135814,war veterans' pension and allowance provisions,
1135704,denial of political pressure regarding airport sites,
1135953,federal jurisdiction over trade union protection laws,
1135849,economic hardship and war veteran pensions,
1136047,Post Office Department financial accounting,
1135987,Post Office Department accounting practices,
1135984,Post Office Department financial accounting and subsidies,
1135946,legal protection against anti-union dismissal,
1135997,construction of post office buildings,
1135892,Canadian military pension expenditures,
1135988,post office building construction policy,
1135828,widows' pensions for veterans' dependents,
1135880,medical examination of war pension applicants,
1135985,Post Office Department financial reporting transparency,
1135938,legal right to join trade unions,
1135982,Post Office Department financial estimates and accounting,
1135928,liability of corporate officers under Lord's Day Act,
1135829,pensions for widows of veterans,
1135922,penalties for corporate violations of Lord's Day Act,
1135986,Post Office Department accounting and financial reporting,
1136019,postal service expansion for canadian pioneers,
1135989,construction of post office buildings,
1135826,pension benefits for war widows and children,
1136044,Post Office Department deficit and financial reporting,
1135866,administration of veterans' pensions and medical treatment,
1135999,administration and patronage in the Post Office Department,
1136003,Post Office Department staff increases,
1136049,Post Office Department financial reporting,
1136002,administrative centralization of government departments,
1136218,amendment of the coronation oath,
1136183,Davenport post office floor space allocation,
1136194,relocation of the Falher post office,
1136174,Post Office Department office space costs,
1136203,St. Lawrence deep waterway treaty negotiations,
1136229,appointment of the Athens postmaster,
1136232,statistics on fresh fruit and vegetable trade,
1136243,provincial relief loans to Alberta and Saskatchewan,
1136122,post office operating hours,
1136160,relocation of postal station L,
1136228,"Athens, Ontario postmaster appointment investigation",
1136149,expansion of Toronto postal station facilities,
1136191,relocation of a post office building,
1136249,Canadian Broadcasting Corporation board appointments,
1136136,relocation of Toronto postal station L,
1136235,Mont-Laurier-Senneterre highway construction funding,
1136251,parliamentary questions on monetary and trade policy,
1136281,lowering the old age pension eligibility age,
1136130,holiday mail delivery services,
1136067,Post Office Department financial reporting transparency,
1136329,lowering the old age pension age limit,
1136335,reduction of old-age pension eligibility age,
1136254,Royal Canadian Mint silver coin statistics,
1136273,Brewster Transport Co. national park payments,
1136327,reduction of old age pension age to sixty-five,
1136074,measurement of postal mail volume,
1136305,reduction of old age pension eligibility age,
1136309,lowering the old age pension eligibility age,
1136240,Pie IX boulevard bridge construction funding,
1136291,reduction of old-age pension eligibility age,
1136358,lowering the old age pension eligibility age,
1136287,reduction of old age pension age limit,
1136390,provincial statistics of old age pensions,
1136372,reduction of old age pension eligibility age,
1136398,national contributory old age pension scheme,
1136386,proposed reduction of old-age pension eligibility age,
1136382,fiscal impact of reducing old-age pension eligibility age,
1136295,reduction of old age pension eligibility age,
1136426,monetary reform and credit creation,
1136297,lowering the old age pension eligibility age,
1136346,reduction of pensionable age to sixty-five,
1131580,canadian immigration policy,
1136399,reduction of old age pension eligibility age,
1136364,risks of monetary inflation,
1136283,reduction of old-age pension eligibility age,
1136325,reduction of old-age pension eligibility age,
1136293,reduction of old age pension eligibility age,
1136407,reduction of old-age pensionable age limit,
1131586,repeal of emergency relief legislation,
1136410,administration and funding of old age pensions,
1131600,Thousand Islands national park proposal,
1131634,administration of prairie relief commissions,
1131656,disclosure of political campaign funding,
1136376,reduction of old age pension age limit,
1136331,liberalization of old age pension legislation,
1136411,principles of social credit,
1131627,wages of rural mail carriers,
1131644,Saskatchewan grain storage and distribution policies,
1136352,parliamentary control of currency and credit,
1131660,drought relief in Alberta and Saskatchewan,
1131621,imperial preference trade agreements,
1136406,reduction of old age pension age limit,
1136057,Magdalen Islands postal and news communication services,
1131640,administration of relief in Saskatchewan,
1136401,administration of old age pensions,
1136412,proposed reduction of old-age pension eligibility age,
1131638,administration of relief in Saskatchewan,
1131609,impact of protective tariffs on consumer prices,
1136424,administration of the Old Age Pensions Act,
1131595,constitutional aspects of federal bankruptcy legislation,
1131687,government livestock feed and marketing program,
1131590,repeal of the Farmers' Creditors Arrangement Act,
1136403,administration of old age pensions in Yukon,
1131710,drought relief and irrigation in Saskatchewan,
1131668,cattle population and fodder requirements in drought-stricken Saskatchewan,
1131654,wheat board marketing and seed grain provision,
1135120,shop cards registration act legislation,
1131662,livestock distribution in drought-stricken Saskatchewan,
1136025,postal service in outlying districts,
1131628,federal and provincial labour relations,
1131737,federal disallowance of Alberta provincial legislation,
1136415,lowering of old-age pension eligibility age,
1131699,food relief for western drought victims,
1136384,proposed reduction of old-age pension eligibility age,
1131685,federal livestock transportation subsidies,
1131670,fodder distribution for drought-stricken Saskatchewan farmers,
1131691,government cattle removal in drought areas,
1131749,federal disallowance of provincial legislation,
1131751,constitutional amendment of the British North America Act,
1131753,constitutional amendment process,
1131723,prohibition of unlawful military drilling,
1131755,federal jurisdiction over unemployment insurance,
1131757,provincial representation in unemployment insurance litigation,
1131729,Supreme Court reference powers for constitutional interpretation,
1131763,defence of democratic and parliamentary systems,
1131679,drought relief and livestock feed supplies,
1131765,Canada's military support for Great Britain,
1131845,unemployment relief administration,
1131759,federal constitutional amendment for unemployment insurance,
1131851,judicial impartiality in royal commissions,
1131761,defence of democratic institutions,
1131733,Supreme Court Act reference powers,
1131816,referral of the Auditor General's report,
1131914,importation of Welsh anthracite coal,
1131833,government trade policy and monetary reform,
1131795,unemployment and economic policy,
1131920,national coal trade policy and industrial development,
1131880,national tariff policy and regional economic impacts,
1131886,economic impacts of tariff policies,
1131827,government economic policy and unemployment,
1131972,government response to livestock feed shortages,
1131745,federal disallowance of provincial statutes,
1131966,disincentives in the relief system,
1131785,Canadian Broadcasting Corporation policy and radio programming,
1131906,federal-provincial constitutional cooperation on unemployment insurance,
1131873,Canadian tariff policy and economic protectionism,
1131892,judicial invalidation of labour legislation,
1131854,Royal Commission on Dominion-Provincial Relations membership,
1131924,establishment of a ministry of industry,
1131940,economic conditions and debt in Saskatchewan,
1131912,reciprocal trade between Canada and Wales,
1132037,Canadian Broadcasting Corporation advertising policies,
