topic,category,error
funding for cultural agencies,Trade & Foreign Affairs,
free trade agreement and apparel industry,Trade & Foreign Affairs,
duty remission and tariff reduction for clothing industry,Taxation,
Canada-US trade agreement apparel industry concerns,Trade & Foreign Affairs,
taxability of interest payments,Taxation,
airport security systems and training,"Sectoral Policy: Resources, Agriculture & Transport",
airline security system performance,"Sectoral Policy: Resources, Agriculture & Transport",
air safety system responsibilities,"Sectoral Policy: Resources, Agriculture & Transport",
airport security measures,"Sectoral Policy: Resources, Agriculture & Transport",
airport policing and security spending,"Sectoral Policy: Resources, Agriculture & Transport",
Telefilm funding for Canadian films,Trade & Foreign Affairs,
Inuvialuit land claims and reindeer herd dispute,Constitutional & Intergovernmental Relations,
Inuvialuit settlement land selection,Constitutional & Intergovernmental Relations,
binding arbitration for Canadian Reindeer and Inuvialuit,Constitutional & Intergovernmental Relations,
reindeer herd sale negotiations,Constitutional & Intergovernmental Relations,
UI benefits for early retirees,Social Policy,
unemployment insurance for mothers with premature babies,Social Policy,
drug prices comparison,Economy & Public Finance,
consumer protection and government economic policy,Economy & Public Finance,
economic policy and consumer well-being,Economy & Public Finance,
tax reform and financial institution regulation,Taxation,
"CDIC, drug prices, and federal sales tax revenues",Taxation,
bank charges and competition,Economy & Public Finance,
competition in financial services,Economy & Public Finance,
Canada Post service and pricing,Government & Electoral Affairs,
Manitoba NDP government taxation and employment,Taxation,
Minister of Fisheries and Oceans regulations,"Sectoral Policy: Resources, Agriculture & Transport",
prison guard pension plan benefits,Social Policy,
funding for research and development,Economy & Public Finance,
government support for industrial research,Economy & Public Finance,
support for research and development,Economy & Public Finance,
government industrial research and development,Economy & Public Finance,
refugee list increase and blame,"Justice, Rights & Immigration",
western diversification and free trade consistency,Trade & Foreign Affairs,
compensation for victims of poisoned mussels,"Sectoral Policy: Resources, Agriculture & Transport",
door-to-door mail delivery costs,Government & Electoral Affairs,
classes of postal delivery recipients,Government & Electoral Affairs,
changing postal service delivery patterns,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Post mail tracking system,"Sectoral Policy: Resources, Agriculture & Transport",
gasoline prices and interest rates,Economy & Public Finance,
national debt and tax revenue,Economy & Public Finance,
criticism of past Liberal government's fiscal policy,Economy & Public Finance,
financial institutions reform and free trade,Trade & Foreign Affairs,
interim supply estimates for fiscal year 1989,Economy & Public Finance,
coastal trade Act and marine activities,"Sectoral Policy: Resources, Agriculture & Transport",
provincial language rights under Northwest Territories Act,Constitutional & Intergovernmental Relations,
aid to Mozambique and front line states,Trade & Foreign Affairs,
security needs in front line states,Defence & National Security,
Quebec immigration selection agreement,"Justice, Rights & Immigration",
chemical weapons use in Iran-Iraq war,Trade & Foreign Affairs,
interest rates and export performance,Economy & Public Finance,
early retirement for correctional officers,Social Policy,
early retirement program for Correctional Services employees,Social Policy,
wheat board quota policy review,"Sectoral Policy: Resources, Agriculture & Transport",
protection of unborn children,"Justice, Rights & Immigration",
denouncing free trade agreement,Trade & Foreign Affairs,
parliamentary committee work on transportation,"Sectoral Policy: Resources, Agriculture & Transport",
aviation security enhancement after Air-India incident,Defence & National Security,
airport security and transportation policy,"Sectoral Policy: Resources, Agriculture & Transport",
security checks and invasion of privacy,"Justice, Rights & Immigration",
airport security funding and training,"Sectoral Policy: Resources, Agriculture & Transport",
government response to committee recommendations,Parliamentary Procedure,
airport security and individual privacy,"Justice, Rights & Immigration",
cruise missile testing and arms control,Defence & National Security,
customs tariff amendments for specific industries,Taxation,
government revenue from tax changes,Taxation,
manufacturers' sales tax and excise tax remittances,Taxation,
Mirabel airport land expropriation and settlement,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian Space Agency location,"Sectoral Policy: Resources, Agriculture & Transport",
Language Commissioner's report and parliamentary procedures,Parliamentary Procedure,
Commissioner's language and report on Quebec,Government & Electoral Affairs,
official languages in Quebec,Government & Electoral Affairs,
Canada-United States trade agreement and cultural endeavours,Trade & Foreign Affairs,
Meech Lake linguistic duality and provincial services,Constitutional & Intergovernmental Relations,
election expenses and campaign expenses,Government & Electoral Affairs,
airport security improvements and passenger screening,"Sectoral Policy: Resources, Agriculture & Transport",
CN employment security plan and Moncton shops,"Sectoral Policy: Resources, Agriculture & Transport",
family violence and criminal law reform,"Justice, Rights & Immigration",
balanced economic policy and interest rates,Economy & Public Finance,
debate on Bill C-72,Parliamentary Procedure,
amendments to Animal Pedigree Act,"Sectoral Policy: Resources, Agriculture & Transport",
parliamentary committee process for agriculture bill,Parliamentary Procedure,
sales tax reform and fiscal policy,Taxation,
Domtar plant dioxin contamination and clean-up,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Post Corporation service changes,"Sectoral Policy: Resources, Agriculture & Transport",
taxation of interest on Principal Group investments,Taxation,
federal sales tax and income tax,Taxation,
taxation of profitable corporations,Taxation,
tax reform and corporate taxation,Taxation,
unemployment and federal support in British Columbia,Social Policy,
corporate taxation and sales tax reform,Taxation,
Manitoba NDP government fiscal policy,Economy & Public Finance,
taxation of imputed income from collapsed investments,Taxation,
unpaid corporate taxes,Taxation,
regional discrimination in taxation,Taxation,
taxation of capital gains and government investment,Taxation,
Salmon Arm supermailbox and postal service,"Sectoral Policy: Resources, Agriculture & Transport",
funding for winter sports programs,Social Policy,
acid rain research vs action,"Sectoral Policy: Resources, Agriculture & Transport",
acid rain treaty negotiations,Trade & Foreign Affairs,
Canada-US acid rain treaty negotiations,Trade & Foreign Affairs,
Canada-US trade deal exemption,Trade & Foreign Affairs,
limitation of political donations,Government & Electoral Affairs,
donations to political parties,Government & Electoral Affairs,
Canada's role in Central American peace and development,Trade & Foreign Affairs,
Canada's foreign policy in Haiti and Central America,Trade & Foreign Affairs,
airline security regulation violations,"Sectoral Policy: Resources, Agriculture & Transport",
job creation for older workers,Social Policy,
offshore oil and gas drilling ban,"Sectoral Policy: Resources, Agriculture & Transport",
Western Grains Stabilization Act interim payment,"Sectoral Policy: Resources, Agriculture & Transport",
acid rain and ozone depletion treaties,Trade & Foreign Affairs,
tabling of documents related to CN shops,Parliamentary Procedure,
decorum and personal reflection in debate,Parliamentary Procedure,
withholding of information from the House,Parliamentary Procedure,
consumer packaging and labelling bilingualism,Government & Electoral Affairs,
Consumer packaging and bilingual labelling under free trade,Trade & Foreign Affairs,
election campaign financing and tax receipts,Government & Electoral Affairs,
legal assistance for Canadians suing US government,"Justice, Rights & Immigration",
creation of Canadian space agency,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian National Rail shops in Moncton,"Sectoral Policy: Resources, Agriculture & Transport",
funding for Planned Parenthood Federation of Canada,Social Policy,
deportation of illegal immigrants,"Justice, Rights & Immigration",
refugee legislation and ministerial responsibility,"Justice, Rights & Immigration",
immigration laws and Senate obstruction,"Justice, Rights & Immigration",
humanitarian grounds for immigration,"Justice, Rights & Immigration",
suspension of deportation orders,"Justice, Rights & Immigration",
deportation orders and provincial agreements,"Justice, Rights & Immigration",
acid rain emissions reduction,Trade & Foreign Affairs,
acid rain constitutional document and funding,Trade & Foreign Affairs,
Great Lakes Water Quality Agreement,Trade & Foreign Affairs,
Aeroflot air rights negotiations,"Sectoral Policy: Resources, Agriculture & Transport",
Gander airport landing system reliability,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada Winnipeg maintenance base operations,"Sectoral Policy: Resources, Agriculture & Transport",
search and rescue helicopter basing,"Sectoral Policy: Resources, Agriculture & Transport",
petition against US trade agreement,Trade & Foreign Affairs,
northern residents tax deduction eligibility,Taxation,
Mulroney-Reagan Trade Agreement,Trade & Foreign Affairs,
hydrogen production and fuel cell technology,"Sectoral Policy: Resources, Agriculture & Transport",
technology innovation conferences,Government & Electoral Affairs,
government science and technology policy,Government & Electoral Affairs,
hydrogen technology research and production,"Sectoral Policy: Resources, Agriculture & Transport",
recognition of public servants,Government & Electoral Affairs,
adjournment motion on national unity and duality,Constitutional & Intergovernmental Relations,
minority language rights in Saskatchewan,Constitutional & Intergovernmental Relations,
British Columbia post-secondary education funding,Social Policy,
cabinet shuffle and prime minister's leadership,Government & Electoral Affairs,
Saskatchewan minority language rights legislation,Constitutional & Intergovernmental Relations,
Meech Lake Accord and minority language rights,Constitutional & Intergovernmental Relations,
Meech Lake Accord and minority rights,Constitutional & Intergovernmental Relations,
Saskatchewan language bill and constitutional amendment,Constitutional & Intergovernmental Relations,
federal-provincial relations on bilingualism,Constitutional & Intergovernmental Relations,
Saskatchewan Francophone rights,Constitutional & Intergovernmental Relations,
national unity and language policy,Constitutional & Intergovernmental Relations,
federal assistance for Alberta language rights,Constitutional & Intergovernmental Relations,
minority language rights in the constitution,Constitutional & Intergovernmental Relations,
provincial commitment to bilingualism,Constitutional & Intergovernmental Relations,
Manitoba minority language agreement,Constitutional & Intergovernmental Relations,
Saskatchewan francophone minority rights,Constitutional & Intergovernmental Relations,
immigrantion process for turkish nationals,"Justice, Rights & Immigration",
locomotives built in Montreal vs Moncton,"Sectoral Policy: Resources, Agriculture & Transport",
Bank of Canada inflation policy,Economy & Public Finance,
controlling inflation for economic performance,Economy & Public Finance,
Eldorado Nuclear Limited liability and safety,"Sectoral Policy: Resources, Agriculture & Transport",
Crown corporations and nuclear industry policy,"Sectoral Policy: Resources, Agriculture & Transport",
candidate financial impediments and northern benefits,Economy & Public Finance,
federal housing initiatives in Toronto,Social Policy,
Saskatchewan linguistic rights and Supreme Court decision,Constitutional & Intergovernmental Relations,
Saskatchewan language rights and Meech Lake Accord,Constitutional & Intergovernmental Relations,
minority language rights and official languages,Constitutional & Intergovernmental Relations,
federal-provincial consultations on official languages,Constitutional & Intergovernmental Relations,
ministerial statements and House courtesies,Parliamentary Procedure,
advance copies of ministerial statements,Parliamentary Procedure,
statement by minister,Parliamentary Procedure,
minister's statement procedure,Parliamentary Procedure,
parliamentary procedure for ministerial statements,Parliamentary Procedure,
government announcement timing,Parliamentary Procedure,
government policy announcement bungled,Parliamentary Procedure,
Air Canada privatization and equity offering,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada ownership initiative,"Sectoral Policy: Resources, Agriculture & Transport",
privatization of Air Canada,"Sectoral Policy: Resources, Agriculture & Transport",
petition on Canada-US free trade deal,Trade & Foreign Affairs,
preservation of Rouge River Valley,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada minority share sale,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada employee share ownership,"Sectoral Policy: Resources, Agriculture & Transport",
federal intervention in provincial language law,Constitutional & Intergovernmental Relations,
federal assistance to Saskatchewan minorities,Constitutional & Intergovernmental Relations,
minority language education rights in Saskatchewan,Constitutional & Intergovernmental Relations,
federal support for Francophone minority in Saskatchewan,Constitutional & Intergovernmental Relations,
refugee claimants and visa requirements,"Justice, Rights & Immigration",
emergency debate on Saskatchewan language rights,Constitutional & Intergovernmental Relations,
emergency debate on minority language rights,Constitutional & Intergovernmental Relations,
Turkish claimants support,"Justice, Rights & Immigration",
Turkish refugee claims and immigration law,"Justice, Rights & Immigration",
point of order on filibuster amendment,Parliamentary Procedure,
privatization of Air Canada and Eldorado Nuclear,"Sectoral Policy: Resources, Agriculture & Transport",
sanctions for naming and suspending members,Parliamentary Procedure,
Speaker's authority to name members,Parliamentary Procedure,
tax system for northern and isolated communities,Taxation,
Port of Churchill and CN railway,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada privatization,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada maintenance facilities control,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada share sales,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada control by minority shareholders,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada job guarantees,"Sectoral Policy: Resources, Agriculture & Transport",
Quebec development plan,Constitutional & Intergovernmental Relations,
Air Canada employment guarantees,"Sectoral Policy: Resources, Agriculture & Transport",
privatization policy debate,Government & Electoral Affairs,
Economic Council report on free trade,Trade & Foreign Affairs,
Canada-US trade pact employment forecast,Trade & Foreign Affairs,
Ethiopian famine relief efforts,Trade & Foreign Affairs,
food aid to Eritrea and Tigre,Trade & Foreign Affairs,
agriculture commodity import-export list,"Sectoral Policy: Resources, Agriculture & Transport",
Indian land entitlement in Saskatchewan and Manitoba,Constitutional & Intergovernmental Relations,
Indian land entitlement formula,Constitutional & Intergovernmental Relations,
assistance to Allarcom Ltd. for film studio,"Sectoral Policy: Resources, Agriculture & Transport",
Northern Treatment Centre construction and management,"Sectoral Policy: Resources, Agriculture & Transport",
Northern Canada Power Commission share issuance and sale authorization,"Sectoral Policy: Resources, Agriculture & Transport",
Northern Canada Power Commission divestiture,"Sectoral Policy: Resources, Agriculture & Transport",
Inuvik utility upkeep discussions,"Sectoral Policy: Resources, Agriculture & Transport",
devolution of services in northern territories,Constitutional & Intergovernmental Relations,
Eldorado Nuclear Limited environmental liabilities,"Sectoral Policy: Resources, Agriculture & Transport",
Eldorado Nuclear Bill debate,"Sectoral Policy: Resources, Agriculture & Transport",
government commitment on nuclear fuel cycle inquiry,"Sectoral Policy: Resources, Agriculture & Transport",
Eldorado Nuclear Limited uranium mining,"Sectoral Policy: Resources, Agriculture & Transport",
corporate mergers and NDP filibuster,Parliamentary Procedure,
Eldorado Nuclear Limited amalgamation,"Sectoral Policy: Resources, Agriculture & Transport",
privatization and job creation,Government & Electoral Affairs,
Canada-US trade deal objections,Trade & Foreign Affairs,
Canada-US trade relations and omnibus trade bill,Trade & Foreign Affairs,
US omnibus trade bill and Canadian dollar value,Trade & Foreign Affairs,
US trade bill and Canadian exchange rates,Trade & Foreign Affairs,
east coast fishing rights and 1972 treaty,Trade & Foreign Affairs,
conditions for privatization of Crown corporations,Government & Electoral Affairs,
Canada-US trade bill concerns,Trade & Foreign Affairs,
PCB capacitor stolen from government storage,"Sectoral Policy: Resources, Agriculture & Transport",
Indian affairs and native concerns,Constitutional & Intergovernmental Relations,
Quebec regional development agreement,Constitutional & Intergovernmental Relations,
question of privilege western diversification bill,Parliamentary Procedure,
committee hearing witnesses,Parliamentary Procedure,
committee proceedings and witness selection,Parliamentary Procedure,
adjournment of committee dispute,Parliamentary Procedure,
legislative calendar and government record,Parliamentary Procedure,
co-operation in parliamentary procedure,Parliamentary Procedure,
voting procedures,Parliamentary Procedure,
Saskatchewan language rights and federal government response,Constitutional & Intergovernmental Relations,
language rights and national unity,Constitutional & Intergovernmental Relations,
tax reform implementation and interest on withholdings,Taxation,
Eldorado Nuclear Limited privatization and merger,"Sectoral Policy: Resources, Agriculture & Transport",
Outaouais bridge construction and consultation,"Sectoral Policy: Resources, Agriculture & Transport",
Canada-US trade agreement and US protectionism,Trade & Foreign Affairs,
Canada-US trade bill discussions,Trade & Foreign Affairs,
Canada-US trade agreement omnibus bill,Trade & Foreign Affairs,
Canada-US trade agreement exemption,Trade & Foreign Affairs,
free trade agreement implementation,Trade & Foreign Affairs,
Prime Minister's support for Mr. Devine,Government & Electoral Affairs,
CN rationalization plan job losses,"Sectoral Policy: Resources, Agriculture & Transport",
CN safety regulations and security operations,"Sectoral Policy: Resources, Agriculture & Transport",
appointments to the Supreme Court of Canada,Government & Electoral Affairs,
Canadian Aviation Safety Board report,"Sectoral Policy: Resources, Agriculture & Transport",
impact of free trade on jobs,Trade & Foreign Affairs,
labour adjustment and Canadian Jobs Strategy,Social Policy,
Criminal Code amendments and freedom of speech,"Justice, Rights & Immigration",
Canadian Jobs Strategy and DRIE job creation,Social Policy,
consultation on northern infrastructure development,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian naval exercises and firing ranges,Defence & National Security,
Canadian naval ship range usage and costs,Defence & National Security,
Rouge Valley preservation and national parks,"Sectoral Policy: Resources, Agriculture & Transport",
filibustering and delaying legislation,Parliamentary Procedure,
national parks legislation debate,"Sectoral Policy: Resources, Agriculture & Transport",
safe drinking water standards,Social Policy,
pension appeal processing times,Social Policy,
government control of house agenda,Parliamentary Procedure,
order of business for Bill C-121,Parliamentary Procedure,
privatization of Eldorado Nuclear and Crown corporations,"Sectoral Policy: Resources, Agriculture & Transport",
Eldorado Nuclear and Air Canada,"Sectoral Policy: Resources, Agriculture & Transport",
privatization of Eldorado Nuclear,"Sectoral Policy: Resources, Agriculture & Transport",
point of order on vote deferral,Parliamentary Procedure,
postponement of vote on Bill C-121,Parliamentary Procedure,
deferral of division,Parliamentary Procedure,
condolences on passing of Phyllis Ross,Parliamentary Procedure,
condolences on death of mother of Leader of the Opposition,Parliamentary Procedure,
Canada-France fisheries dispute and travel,Trade & Foreign Affairs,
Canada-France fisheries dispute,Trade & Foreign Affairs,
Canada-France diplomatic relations,Trade & Foreign Affairs,
Canada-France relations and fisheries dispute,Trade & Foreign Affairs,
Canada-France relations and fishing zone negotiations,Trade & Foreign Affairs,
Canada-France fishing and territorial boundary dispute,Trade & Foreign Affairs,
fisheries dispute and diplomatic practice,Trade & Foreign Affairs,
NATO policy and fisheries disputes,Trade & Foreign Affairs,
Canada's Ambassador to France,Trade & Foreign Affairs,
Air Canada and Ramsay Withers,"Sectoral Policy: Resources, Agriculture & Transport",
St. Lawrence River cleanup cooperation,"Sectoral Policy: Resources, Agriculture & Transport",
Middle East violence and Canadian influence,Trade & Foreign Affairs,
Sikh community relations and government engagement,"Justice, Rights & Immigration",
Khalistan separatist activities in Canada,"Justice, Rights & Immigration",
incorrect answer in Hansard,Parliamentary Procedure,
tax reform and excise tax rebates for farmers,Taxation,
seniors initiatives and national seniors' day,Social Policy,
federal minimum wage policy,Economy & Public Finance,
defence contract award to UTDC,Defence & National Security,
northern residents' tax deduction eligibility,Taxation,
ozone layer protection studies,"Sectoral Policy: Resources, Agriculture & Transport",
intellectual property legislation delay,"Justice, Rights & Immigration",
legal action for libel,"Justice, Rights & Immigration",
St. Lawrence cleanup action plan,"Sectoral Policy: Resources, Agriculture & Transport",
federal environmental policy for Quebec,"Sectoral Policy: Resources, Agriculture & Transport",
official languages in Saskatchewan,Constitutional & Intergovernmental Relations,
status of French language minority in Saskatchewan,Constitutional & Intergovernmental Relations,
federal-provincial negotiations on education,Constitutional & Intergovernmental Relations,
protection of Canadian honey industry from Varroa mite,"Sectoral Policy: Resources, Agriculture & Transport",
support for honey producers,"Sectoral Policy: Resources, Agriculture & Transport",
International River Improvements Act permit,"Sectoral Policy: Resources, Agriculture & Transport",
commercial fishery and salmon resources,"Sectoral Policy: Resources, Agriculture & Transport",
Fermi II nuclear generating plant mandate,"Sectoral Policy: Resources, Agriculture & Transport",
Fermi II environmental monitoring,"Sectoral Policy: Resources, Agriculture & Transport",
environmental matters and federal government action,"Sectoral Policy: Resources, Agriculture & Transport",
ruling on amendments to environmental bill,Parliamentary Procedure,
Canadian Environmental Protection Act amendments,"Sectoral Policy: Resources, Agriculture & Transport",
legally enforceable environmental standards,"Sectoral Policy: Resources, Agriculture & Transport",
assessment of toxic substances in commerce,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian Environmental Protection Act amendment,"Sectoral Policy: Resources, Agriculture & Transport",
environmental protection act amendments,"Sectoral Policy: Resources, Agriculture & Transport",
environmental impact definition in bill,"Sectoral Policy: Resources, Agriculture & Transport",
Blue Water Bridge liability insurance,"Sectoral Policy: Resources, Agriculture & Transport",
Blue Water Bridge authority liability,"Sectoral Policy: Resources, Agriculture & Transport",
Blue Water Bridge Authority Act legislative committee referral,"Sectoral Policy: Resources, Agriculture & Transport",
deferred division on amendment,Parliamentary Procedure,
legal proceedings regarding article publication,"Justice, Rights & Immigration",
Canada-US free trade agreement and GATT,Trade & Foreign Affairs,
federal-provincial discussions on Fransaskois,Constitutional & Intergovernmental Relations,
minority rights in Saskatchewan,Constitutional & Intergovernmental Relations,
assistance to language minorities,Constitutional & Intergovernmental Relations,
Saskatchewan minority language rights,Constitutional & Intergovernmental Relations,
Fransaskois participation in federal-Saskatchewan talks,Constitutional & Intergovernmental Relations,
appointment of director of international sports relations,Government & Electoral Affairs,
draft legislation and sales tax system,Taxation,
DRIE loan guarantee for business operation,Economy & Public Finance,
Canadian mite-free status and industry compensation,"Sectoral Policy: Resources, Agriculture & Transport",
Ethiopian aid delivery routes,Trade & Foreign Affairs,
Air Canada passenger smoking incident,Parliamentary Procedure,
nitrogen fixation in wheat research,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian International Trade Tribunal establishment,Government & Electoral Affairs,
Israel's fortieth anniversary and peace,Trade & Foreign Affairs,
death of Jean Gascon,Parliamentary Procedure,
criticism of unelected prime minister,Government & Electoral Affairs,
government investment in science and technology,Economy & Public Finance,
impact of free trade on Okanagan grape industry,"Sectoral Policy: Resources, Agriculture & Transport",
compensation for Okanagan Valley vineyard family,"Sectoral Policy: Resources, Agriculture & Transport",
Economic Council job creation report,Economy & Public Finance,
free trade deal job impact,Economy & Public Finance,
free trade agreement economic impact,Economy & Public Finance,
use of appointment power for affirmative action,Government & Electoral Affairs,
women's appointments to federal commissions,Government & Electoral Affairs,
plutonium air carriage over Canada,"Sectoral Policy: Resources, Agriculture & Transport",
French language assimilation outside Quebec,Constitutional & Intergovernmental Relations,
support for Fransaskois language rights,Constitutional & Intergovernmental Relations,
Fransaskois language rights demands,Constitutional & Intergovernmental Relations,
Spallumcheen Indian Band child welfare program,Social Policy,
acid rain damage from United States,Trade & Foreign Affairs,
Canada-US relations and Baie Comeau policy,Trade & Foreign Affairs,
acid rain negotiations with the US,Trade & Foreign Affairs,
Canada-US relations and trade accord,Trade & Foreign Affairs,
takeover of New American Library by Penguin,Trade & Foreign Affairs,
Baie Comeau policy application to company,"Sectoral Policy: Resources, Agriculture & Transport",
acid rain accord with the United States,Trade & Foreign Affairs,
international maritime pollution incident,Trade & Foreign Affairs,
Auditor General's independence and international relations,Government & Electoral Affairs,
Canada Post Corporation special express mail contract,"Sectoral Policy: Resources, Agriculture & Transport",
export permits for Expro,Trade & Foreign Affairs,
export permits and RCMP investigation,"Justice, Rights & Immigration",
free trade and Hydro-Quebec,"Sectoral Policy: Resources, Agriculture & Transport",
adjournment of house business,Parliamentary Procedure,
ruling on amendments to workplace smoking bill,Parliamentary Procedure,
Non-smokers' Health Act employee provisions,Social Policy,
tobacco advertising and health warnings,Social Policy,
prohibiting tobacco advertising and promotion,Social Policy,
Non-smokers' Health Act and employer responsibilities,Social Policy,
debate on national emergency bill amendments,Parliamentary Procedure,
refugee status and treaty obligations,"Justice, Rights & Immigration",
amendments to Emergencies Act compensation provisions,Parliamentary Procedure,
amendments to Bill C-77,Parliamentary Procedure,
amendments to Emergencies Act,Parliamentary Procedure,
Emergencies Act and War Measures Act debate,Parliamentary Procedure,
War Measures Act and New Democrat opposition,Parliamentary Procedure,
emergencies act definition and powers,Parliamentary Procedure,
closure of Vickers Heights Post Office,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada privatization and Winnipeg maintenance base,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada aircraft purchase and operations,"Sectoral Policy: Resources, Agriculture & Transport",
legislative commitment for Winnipeg,Constitutional & Intergovernmental Relations,
federal government approval of airline corporate plan,"Sectoral Policy: Resources, Agriculture & Transport",
child care strategy and provincial negotiations,Social Policy,
subsidized childcare spaces,Social Policy,
Air Canada assurances and western grievances,"Sectoral Policy: Resources, Agriculture & Transport",
supermailboxes and door-to-door mail service,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Post delivery service fairness,"Sectoral Policy: Resources, Agriculture & Transport",
grape industry support and GATT ruling,"Sectoral Policy: Resources, Agriculture & Transport",
GATT wine and grape industry dispute,"Sectoral Policy: Resources, Agriculture & Transport",
acid rain abatement with the US,Trade & Foreign Affairs,
acid rain strategy with US Congress,Trade & Foreign Affairs,
emergencies act and civil liberties,Parliamentary Procedure,
Canada-US trade deal impact on independence,Trade & Foreign Affairs,
economic impact of Calgary Olympic Games,Economy & Public Finance,
Canada Labour Code occupational safety amendments,"Justice, Rights & Immigration",
Chief Seattle's speech on land and environment,Trade & Foreign Affairs,
Liberal Party financial mismanagement,Government & Electoral Affairs,
Air Canada privatization and maintenance base,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada aircraft maintenance guarantee,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada Winnipeg maintenance base,"Sectoral Policy: Resources, Agriculture & Transport",
tax incentives for flowthrough share financing,Taxation,
veterans' pension plans,Social Policy,
veterans' benefits eligibility,Social Policy,
Meech Lake Accord support,Constitutional & Intergovernmental Relations,
constitutional reform and Charter of Rights,Constitutional & Intergovernmental Relations,
labour relations in eastern Canadian ports,"Sectoral Policy: Resources, Agriculture & Transport",
stevedores' labour negotiations,"Sectoral Policy: Resources, Agriculture & Transport",
union negotiations and minister's role,Parliamentary Procedure,
Auditor General's reporting frequency,Government & Electoral Affairs,
Air Canada maintenance base allegations,"Sectoral Policy: Resources, Agriculture & Transport",
enforcement of environmental legislation by federal polluters,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian Jobs Strategy projects,Economy & Public Finance,
recycling business labour market proposal,"Sectoral Policy: Resources, Agriculture & Transport",
trust and loan company legislation implications for Mouvement Desjardins,Economy & Public Finance,
apology for absence and praise for MP,Parliamentary Procedure,
acid rain pollution from US emissions,Trade & Foreign Affairs,
acid rain policy and Liberal inaction,Trade & Foreign Affairs,
Economic Development Committee for Montreal region,Economy & Public Finance,
federal investment in Montreal region,Economy & Public Finance,
Montreal economic renewal and job creation,Economy & Public Finance,
child poverty reduction measures,Social Policy,
Indian land entitlement in prairie provinces,Constitutional & Intergovernmental Relations,
St. Pierre and Miquelon territorial boundaries,Constitutional & Intergovernmental Relations,
irradiation of potatoes for market test,"Sectoral Policy: Resources, Agriculture & Transport",
disposition of Bill C-77,Parliamentary Procedure,
replacement of the War Measures Act,Parliamentary Procedure,
selection of amendments to Atlantic Canada Opportunities Agency Act,Parliamentary Procedure,
community based economic development initiatives,Economy & Public Finance,
Atlantic Canada Opportunities Agency initiatives,Economy & Public Finance,
Royal Assent to Bills C-76 and C-125,Parliamentary Procedure,
caucus meeting tradition,Parliamentary Procedure,
amendment to bill C-103 definition of Cape Breton Island,Parliamentary Procedure,
workplace safety and health,Social Policy,
workplace health and safety legislation,Social Policy,
western diversification bill filibuster,Parliamentary Procedure,
diversifying western economy and creating jobs,Economy & Public Finance,
Prime Minister's speech on free trade,Trade & Foreign Affairs,
acid rain pollution,Trade & Foreign Affairs,
Canada-US acid rain reduction program,Trade & Foreign Affairs,
Canada-U.S. environmental cooperation,Trade & Foreign Affairs,
US omnibus trade bill and free trade agreement,Trade & Foreign Affairs,
changes to spouse's allowance for widows and widowers,Social Policy,
poverty reduction and family income statistics,Social Policy,
toxic chemicals legislation and St. Lawrence River cleanup,"Sectoral Policy: Resources, Agriculture & Transport",
provincial jurisdiction in prosecutions,"Justice, Rights & Immigration",
Canada Post rural route policy,"Sectoral Policy: Resources, Agriculture & Transport",
order of business for western diversification act,Parliamentary Procedure,
point of order and ministerial responsibility,Parliamentary Procedure,
committee jurisdiction and privilege,Parliamentary Procedure,
fire alarm safety and exit congestion,Social Policy,
amendments to Bill C-103,Parliamentary Procedure,
equity in resource allocation for Atlantic Provinces,Constitutional & Intergovernmental Relations,
cost of voting in the House,Parliamentary Procedure,
division on motion no. 9,Parliamentary Procedure,
breach of undertakings,Parliamentary Procedure,
agreement on voting procedure,Parliamentary Procedure,
amendments to Bill C-103 on regional disparities,Parliamentary Procedure,
amendment to Enterprise Cape Breton Corporation legislation,Parliamentary Procedure,
veterans benefits for absent service members,Defence & National Security,
armed forces deserters and discharge status,Defence & National Security,
importation of honey bees and varroa disease,"Sectoral Policy: Resources, Agriculture & Transport",
technical amendment to Bill C-89,Parliamentary Procedure,
sexual abuse victims and Bill C-89,"Justice, Rights & Immigration",
regional development grant for Upper Saint-Maurice,Economy & Public Finance,
Prime Minister's silence on US trade bill,Trade & Foreign Affairs,
Canada-U.S. trade bill discussions,Trade & Foreign Affairs,
